"id","creation_time","failed","failed_reason","time_of_death","type","network_id","participant_id","awaiting_async_process","pending_async_processes","failed_async_processes","seed","class","degree","phase","child_id","definition","vertex_id","dependent_vertex_ids","propagate_failure"
"1","2022-11-19 19:54","false","null","null","graph_chain_source","1","null","false","{}","{}","[{""content"": [2, 2, 0, 1, 2, 1, 2, 0, 1], ""is_center"": true, ""vertex_id"": 0}, {""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 1}, {""content"": [0, 1, 1, 0, 0, 2, 2, 0, 2], ""is_center"": false, ""vertex_id"": 7}]","CustomSource","0","experiment","null","null","null","null","null"
"2","2022-11-19 19:54","false","null","null","graph_chain_node","1","null","false","{}","{}","[{""content"": [2, 2, 0, 1, 2, 1, 2, 0, 1], ""is_center"": true, ""vertex_id"": 0}, {""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 1}, {""content"": [0, 1, 1, 0, 0, 2, 2, 0, 2], ""is_center"": false, ""vertex_id"": 7}]","CustomNode","1","experiment","null","[{""content"": [2, 2, 0, 1, 2, 1, 2, 0, 1], ""is_center"": true, ""vertex_id"": 0}, {""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 1}, {""content"": [0, 1, 1, 0, 0, 2, 2, 0, 2], ""is_center"": false, ""vertex_id"": 7}]","0","[1, 7]","true"
"3","2022-11-19 19:54","false","null","null","graph_chain_source","2","null","false","{}","{}","[{""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": true, ""vertex_id"": 1}, {""content"": [2, 2, 0, 1, 2, 1, 2, 0, 1], ""is_center"": false, ""vertex_id"": 0}, {""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [0, 2, 2, 0, 2, 0, 2, 2, 1], ""is_center"": false, ""vertex_id"": 8}]","CustomSource","0","experiment","null","null","null","null","null"
"4","2022-11-19 19:54","false","null","null","graph_chain_node","2","null","false","{}","{}","[{""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": true, ""vertex_id"": 1}, {""content"": [2, 2, 0, 1, 2, 1, 2, 0, 1], ""is_center"": false, ""vertex_id"": 0}, {""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [0, 2, 2, 0, 2, 0, 2, 2, 1], ""is_center"": false, ""vertex_id"": 8}]","CustomNode","1","experiment","null","[{""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": true, ""vertex_id"": 1}, {""content"": [2, 2, 0, 1, 2, 1, 2, 0, 1], ""is_center"": false, ""vertex_id"": 0}, {""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [0, 2, 2, 0, 2, 0, 2, 2, 1], ""is_center"": false, ""vertex_id"": 8}]","1","[0, 2, 8]","true"
"5","2022-11-19 19:54","false","null","null","graph_chain_source","3","null","false","{}","{}","[{""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": true, ""vertex_id"": 2}, {""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 1}, {""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [0, 1, 2, 2, 0, 1, 2, 0, 0], ""is_center"": false, ""vertex_id"": 9}]","CustomSource","0","experiment","null","null","null","null","null"
"6","2022-11-19 19:54","false","null","null","graph_chain_node","3","null","false","{}","{}","[{""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": true, ""vertex_id"": 2}, {""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 1}, {""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [0, 1, 2, 2, 0, 1, 2, 0, 0], ""is_center"": false, ""vertex_id"": 9}]","CustomNode","1","experiment","null","[{""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": true, ""vertex_id"": 2}, {""content"": [2, 1, 2, 0, 2, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 1}, {""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [0, 1, 2, 2, 0, 1, 2, 0, 0], ""is_center"": false, ""vertex_id"": 9}]","2","[1, 3, 9]","true"
"7","2022-11-19 19:54","false","null","null","graph_chain_source","4","null","false","{}","{}","[{""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": true, ""vertex_id"": 3}, {""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [0, 2, 1, 1, 2, 0, 1, 2, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [1, 1, 0, 2, 0, 0, 1, 0, 2], ""is_center"": false, ""vertex_id"": 10}]","CustomSource","0","experiment","null","null","null","null","null"
"8","2022-11-19 19:54","false","null","null","graph_chain_node","4","null","false","{}","{}","[{""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": true, ""vertex_id"": 3}, {""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [0, 2, 1, 1, 2, 0, 1, 2, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [1, 1, 0, 2, 0, 0, 1, 0, 2], ""is_center"": false, ""vertex_id"": 10}]","CustomNode","1","experiment","null","[{""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": true, ""vertex_id"": 3}, {""content"": [0, 1, 0, 1, 1, 2, 0, 0, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [0, 2, 1, 1, 2, 0, 1, 2, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [1, 1, 0, 2, 0, 0, 1, 0, 2], ""is_center"": false, ""vertex_id"": 10}]","3","[2, 4, 10]","true"
"9","2022-11-19 19:54","false","null","null","graph_chain_source","5","null","false","{}","{}","[{""content"": [0, 2, 1, 1, 2, 0, 1, 2, 2], ""is_center"": true, ""vertex_id"": 4}, {""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 2, 1, 1, 1, 1, 2, 2, 0], ""is_center"": false, ""vertex_id"": 5}, {""content"": [0, 1, 0, 1, 2, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 11}]","CustomSource","0","experiment","null","null","null","null","null"
"10","2022-11-19 19:54","false","null","null","graph_chain_node","5","null","false","{}","{}","[{""content"": [0, 2, 1, 1, 2, 0, 1, 2, 2], ""is_center"": true, ""vertex_id"": 4}, {""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 2, 1, 1, 1, 1, 2, 2, 0], ""is_center"": false, ""vertex_id"": 5}, {""content"": [0, 1, 0, 1, 2, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 11}]","CustomNode","1","experiment","null","[{""content"": [0, 2, 1, 1, 2, 0, 1, 2, 2], ""is_center"": true, ""vertex_id"": 4}, {""content"": [1, 0, 1, 2, 2, 1, 1, 2, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 2, 1, 1, 1, 1, 2, 2, 0], ""is_center"": false, ""vertex_id"": 5}, {""content"": [0, 1, 0, 1, 2, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 11}]","4","[3, 5, 11]","true"
