id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,max_size,full,role,awaiting_async_process,pending_async_processes,failed_async_processes,trial_maker_id,target_num_trials,participant_id,id_within_participant,vertex_id,dependent_vertex_ids,source_seed,participant_group,block
4,2022-12-06 02:07:53.384143,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,2,[],"[{""vertex_id"": 2, ""content"": [0, 2, 0, 2, 0, 1, 2, 2, 0], ""is_center"": true}]",,
15,2022-12-06 02:07:53.878655,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,13,[],"[{""vertex_id"": 13, ""content"": [2, 1, 1, 2, 1, 2, 0, 1, 2], ""is_center"": true}]",,
6,2022-12-06 02:07:53.475852,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,4,[],"[{""vertex_id"": 4, ""content"": [1, 1, 1, 1, 1, 0, 2, 2, 0], ""is_center"": true}]",,
18,2022-12-06 02:07:54.008331,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,16,[],"[{""vertex_id"": 16, ""content"": [1, 1, 2, 1, 0, 0, 1, 0, 0], ""is_center"": true}]",,
9,2022-12-06 02:07:53.615461,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,7,[],"[{""vertex_id"": 7, ""content"": [0, 1, 0, 0, 1, 0, 1, 2, 2], ""is_center"": true}]",,
2,2022-12-06 02:07:53.267713,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,0,[],"[{""vertex_id"": 0, ""content"": [2, 1, 0, 2, 2, 0, 1, 2, 0], ""is_center"": true}]",,
16,2022-12-06 02:07:53.922534,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,14,[],"[{""vertex_id"": 14, ""content"": [0, 1, 1, 0, 0, 2, 1, 1, 2], ""is_center"": true}]",,
7,2022-12-06 02:07:53.522505,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,5,[],"[{""vertex_id"": 5, ""content"": [2, 2, 2, 0, 1, 1, 2, 2, 0], ""is_center"": true}]",,
20,2022-12-06 02:07:54.094715,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,18,[],"[{""vertex_id"": 18, ""content"": [2, 2, 2, 2, 0, 0, 2, 1, 2], ""is_center"": true}]",,
13,2022-12-06 02:07:53.793128,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,11,[],"[{""vertex_id"": 11, ""content"": [0, 1, 0, 2, 0, 1, 2, 1, 1], ""is_center"": true}]",,
