id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,assignment_id,event_type
1,2022-12-06 02:08:03.033609,,,,,,f,,,{},3JC6VJ2SAD73JTJER3CTX17YZPKA5L,AssignmentAccepted
2,2022-12-06 02:08:03.343533,,,,,,f,,,{},30LSNF239WJQQEJPL828GSS5SNYI2W,AssignmentAccepted
3,2022-12-06 02:08:03.572947,,,,,,f,,,{},392CY0QWG3F0TSYCPMLW97P3C1UI4S,AssignmentAccepted
4,2022-12-06 02:08:03.604401,,,,,,f,,,{},3BV8HQ2ZZYPZ2XJSWMMYP7LYVKVA61,AssignmentAccepted
5,2022-12-06 02:08:03.609576,,,,,,f,,,{},3X73LLYYQ32MJ5XY19I784UO35ANHZ,AssignmentAccepted
6,2022-12-06 02:08:04.482568,,,,,,f,,,{},3QEMNNSB2ZNG4409Z6ISLMT0BYC7DZ,AssignmentAccepted
7,2022-12-06 02:08:04.780216,,,,,,f,,,{},3I7DHKZYGPOYFK0M2JYLB2IPW5XF53,AssignmentAccepted
8,2022-12-06 02:08:05.055298,,,,,,f,,,{},3ZWFC4W1UWVNK7YKZQBOE3NLONMRFT,AssignmentAccepted
9,2022-12-06 02:08:05.060654,,,,,,f,,,{},3K9FOBBF2J7O51GOSUX50WNVKMJNL6,AssignmentAccepted
10,2022-12-06 02:08:05.08664,,,,,,f,,,{},3IUZPWIU1QV38P7KZVCRHFN7OYIKWR,AssignmentAccepted
11,2022-12-06 02:08:06.40938,,,,,,f,,,{},3FQ5JJ512NCDLVY67UL4LWAGVMENK3,AssignmentAccepted
12,2022-12-06 02:08:06.442064,,,,,,f,,,{},3BWI6RSP7IXLWAE9V1TCR4BLBAD7ES,AssignmentAccepted
13,2022-12-06 02:08:07.667937,,,,,,f,,,{},3H0W84IWBMQVETYO4FRIWL2LCM7REB,AssignmentAccepted
14,2022-12-06 02:08:07.691422,,,,,,f,,,{},3YOH7BII0BVQT07F9L7VVD4THPGKVH,AssignmentAccepted
15,2022-12-06 02:08:07.692126,,,,,,f,,,{},317HQ483I9GMF08I7R0S8GV33IPNIS,AssignmentAccepted
16,2022-12-06 02:08:07.723807,,,,,,f,,,{},3TS1AR6UQS2D2OE5QCDI9MWLNBS7FA,AssignmentAccepted
17,2022-12-06 02:08:07.735755,,,,,,f,,,{},3UXUOQ9OKGLI6XXXFWRQVLLUQVFA70,AssignmentAccepted
18,2022-12-06 02:08:07.749614,,,,,,f,,,{},31UV0MXWNS0IPB2C3R46EZVHCXPI5X,AssignmentAccepted
19,2022-12-06 02:08:11.666889,,,,,,f,,,{},3QFUFYSY903GJ1WMOEFB6ACBW92F4Y,AssignmentAccepted
20,2022-12-06 02:08:11.676949,,,,,,f,,,{},3KAKFY4PGWQFBWF8P8GDZ2XXY1YI37,AssignmentAccepted
21,2022-12-06 02:08:46.162653,,,,,,f,,,{},3QEMNNSB2ZNG4409Z6ISLMT0BYC7DZ,AssignmentAccepted
22,2022-12-06 02:08:46.174957,,,,,,f,,,{},3QEMNNSB2ZNG4409Z6ISLMT0BYC7DZ,AssignmentReturned
23,2022-12-06 02:09:07.947555,,,,,,f,,,{},3YOH7BII0BVQT07F9L7VVD4THPGKVH,AssignmentReturned
24,2022-12-06 02:09:25.219471,,,,,,f,,,{},3YOH7BII0BVQT07F9L7VVD4THPGKVH,AssignmentAccepted
25,2022-12-06 02:14:13.184974,,,,,,f,,,{},3KAKFY4PGWQFBWF8P8GDZ2XXY1YI37,AssignmentReturned
26,2022-12-06 02:14:13.193174,,,,,,f,,,{},3KAKFY4PGWQFBWF8P8GDZ2XXY1YI37,AssignmentAccepted
27,2022-12-06 02:15:24.489505,,,,,,f,,,{},3H0W84IWBMQVETYO4FRIWL2LCM7REB,AssignmentReturned
28,2022-12-06 02:15:24.523111,,,,,,f,,,{},3H0W84IWBMQVETYO4FRIWL2LCM7REB,AssignmentAccepted
29,2022-12-06 02:17:42.42178,,,,,,f,,,{},3X73LLYYQ32MJ5XY19I784UO35ANHZ,AssignmentSubmitted
30,2022-12-06 02:17:54.746823,,,,,,f,,,{},3WZ36BJEV54AN5ZWYDUNVSXIXARTBQ,AssignmentAccepted
31,2022-12-06 02:20:23.749726,,,,,,f,,,{},3QEMNNSB2ZNG4409Z6ISLMT0BYC7DZ,AssignmentSubmitted
32,2022-12-06 02:20:27.103657,,,,,,f,,,{},30BUDKLTXFJ6960Q78EFTKXPK4JE5L,AssignmentAccepted
33,2022-12-06 02:22:45.820651,,,,,,f,,,{},3WZ36BJEV54AN5ZWYDUNVSXIXARTBQ,AssignmentReturned
34,2022-12-06 02:23:14.796478,,,,,,f,,,{},3WZ36BJEV54AN5ZWYDUNVSXIXARTBQ,AssignmentAccepted
35,2022-12-06 02:23:43.214817,,,,,,f,,,{},317HQ483I9GMF08I7R0S8GV33IPNIS,AssignmentSubmitted
36,2022-12-06 02:23:55.313672,,,,,,f,,,{},3VELCLL3GM7ZR2Z31WW98C58KPTF1M,AssignmentAccepted
37,2022-12-06 02:27:18.017661,,,,,,f,,,{},392CY0QWG3F0TSYCPMLW97P3C1UI4S,AssignmentSubmitted
38,2022-12-06 02:27:41.169389,,,,,,f,,,{},3H7Z272LX9VO8MS189AX4LSQK1LPL5,AssignmentAccepted
39,2022-12-06 02:31:26.323436,,,,,,f,,,{},3I7DHKZYGPOYFK0M2JYLB2IPW5XF53,AssignmentSubmitted
40,2022-12-06 02:31:41.337715,,,,,,f,,,{},37FMASSAYEFKERJL41VJHLV9MTCIBZ,AssignmentAccepted
41,2022-12-06 02:33:02.322032,,,,,,f,,,{},3YOH7BII0BVQT07F9L7VVD4THPGKVH,AssignmentSubmitted
42,2022-12-06 02:33:11.269346,,,,,,f,,,{},3R2PKQ87NYWGXINIVQLSV163YSGIMO,AssignmentAccepted
43,2022-12-06 02:36:50.942096,,,,,,f,,,{},3H7Z272LX9VO8MS189AX4LSQK1LPL5,AssignmentSubmitted
44,2022-12-06 02:36:52.63678,,,,,,f,,,{},33CID57106HH1XNEABDQRIPPF5U3L8,AssignmentAccepted
45,2022-12-06 02:37:06.944362,,,,,,f,,,{},3KAKFY4PGWQFBWF8P8GDZ2XXY1YI37,AssignmentSubmitted
46,2022-12-06 02:37:10.332443,,,,,,f,,,{},31UV0MXWNS0IPB2C3R46EZVHCXPI5X,AssignmentReturned
47,2022-12-06 02:37:10.348636,,,,,,f,,,{},31UV0MXWNS0IPB2C3R46EZVHCXPI5X,AssignmentAccepted
48,2022-12-06 02:37:13.366161,,,,,,f,,,{},31JLPPHS2WIP7IQBN3TIJZTJAAZ3OP,AssignmentAccepted
49,2022-12-06 02:37:22.363687,,,,,,f,,,{},3TS1AR6UQS2D2OE5QCDI9MWLNBS7FA,AssignmentSubmitted
50,2022-12-06 02:37:37.952108,,,,,,f,,,{},3GDTJDAPVWZN8CB5M491ICCPVWC8M7,AssignmentAccepted
51,2022-12-06 02:39:58.97485,,,,,,f,,,{},3JC6VJ2SAD73JTJER3CTX17YZPKA5L,AssignmentSubmitted
52,2022-12-06 02:40:08.897681,,,,,,f,,,{},3P4MQ7TPPZ0ARJ5FYR32VYRWR3TBBK,AssignmentAccepted
53,2022-12-06 02:41:26.823493,,,,,,f,,,{},3GDTJDAPVWZN8CB5M491ICCPVWC8M7,AssignmentReturned
54,2022-12-06 02:41:26.838977,,,,,,f,,,{},3GDTJDAPVWZN8CB5M491ICCPVWC8M7,AssignmentAccepted
55,2022-12-06 02:41:32.984248,,,,,,f,,,{},3VELCLL3GM7ZR2Z31WW98C58KPTF1M,AssignmentSubmitted
