id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,network_id,participant_id,awaiting_async_process,pending_async_processes,failed_async_processes,degree,child_id,seed,definition,vertex_id,dependent_vertex_ids,target_num_trials,stimulus_id,phase,participant_group,block,has_media,s3_bucket,remote_media_dir,media_id
1,2022-12-02 17:31:37.753414,,,,,,f,,,{},graph_chain_source,2,,f,{},{},,,"[{""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": true, ""vertex_id"": 0}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 2, 1, 0, 2, 0, 1, 2, 0], ""is_center"": false, ""vertex_id"": 42}, {""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": false, ""vertex_id"": 6}, {""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": false, ""vertex_id"": 7}]",{},,,,,,,,,,,
3,2022-12-02 17:31:37.807193,,,,,,f,,,{},graph_chain_source,3,,f,{},{},,,"[{""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": true, ""vertex_id"": 1}, {""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": false, ""vertex_id"": 0}, {""content"": [0, 0, 1, 2, 1, 2, 0, 2, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [1, 0, 1, 2, 1, 1, 0, 2, 2], ""is_center"": false, ""vertex_id"": 43}, {""content"": [2, 0, 0, 0, 2, 0, 2, 2, 0], ""is_center"": false, ""vertex_id"": 8}]",{},,,,,,,,,,,
1078,2022-12-02 20:15:56.517732,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,7,,f,{},{},21,,"[{""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": true, ""vertex_id"": 5}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 47}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 12}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 6}]","[{""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": true, ""vertex_id"": 5}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 2, 2, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 47}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 12}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 6}]",5,"[4, 6, 47, 12]",,,,,,,,,
2,2022-12-02 17:31:37.777882,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,2,,f,{},{},1,144,"[{""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": true, ""vertex_id"": 0}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 2, 1, 0, 2, 0, 1, 2, 0], ""is_center"": false, ""vertex_id"": 42}, {""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": false, ""vertex_id"": 6}, {""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": false, ""vertex_id"": 7}]","[{""content"": [0, 0, 0, 0, 1, 1, 1, 0, 2], ""is_center"": true, ""vertex_id"": 0}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 2, 1, 0, 2, 0, 1, 2, 0], ""is_center"": false, ""vertex_id"": 42}, {""content"": [2, 0, 1, 0, 0, 0, 0, 1, 0], ""is_center"": false, ""vertex_id"": 6}, {""content"": [2, 2, 2, 1, 1, 2, 0, 1, 2], ""is_center"": false, ""vertex_id"": 7}]",0,"[1, 42, 6, 7]",,,,,,,,,
5,2022-12-02 17:31:37.858711,,,,,,f,,,{},graph_chain_source,4,,f,{},{},,,"[{""content"": [0, 0, 1, 2, 1, 2, 0, 2, 2], ""is_center"": true, ""vertex_id"": 2}, {""content"": [1, 1, 0, 2, 2, 1, 1, 2, 2], ""is_center"": false, ""vertex_id"": 1}, {""content"": [2, 0, 1, 0, 1, 0, 1, 1, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [2, 0, 2, 0, 1, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 44}, {""content"": [2, 2, 0, 0, 1, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 9}]",{},,,,,,,,,,,
54,2022-12-02 17:31:38.738534,,,,,,f,,,{},Stimulus,1,,f,{},{},,,{},"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-3.jpg"", ""label"": ""3"", ""correct_answer"": ""29""}",,,,,,,,,,,
55,2022-12-02 17:31:38.748286,,,,,,f,,,{},StimulusVersion,1,,f,{},{},,,{},{},,,,54,screening,default,default,f,,,
57,2022-12-02 17:31:38.757096,,,,,,f,,,{},Stimulus,1,,f,{},{},,,{},"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-4.jpg"", ""label"": ""4"", ""correct_answer"": ""5""}",,,,,,,,,,,
7,2022-12-02 17:31:37.898338,,,,,,f,,,{},graph_chain_source,5,,f,{},{},,,"[{""content"": [2, 0, 1, 0, 1, 0, 1, 1, 0], ""is_center"": true, ""vertex_id"": 3}, {""content"": [0, 0, 1, 2, 1, 2, 0, 2, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [2, 2, 2, 0, 0, 1, 2, 0, 2], ""is_center"": false, ""vertex_id"": 4}, {""content"": [1, 1, 0, 2, 1, 1, 0, 2, 0], ""is_center"": false, ""vertex_id"": 45}, {""content"": [2, 2, 1, 2, 1, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 10}]",{},,,,,,,,,,,
212,2022-12-02 18:06:55.09907,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,31,,f,{},{},4,298,"[{""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": true, ""vertex_id"": 29}, {""content"": [1, 2, 0, 1, 2, 0, 1, 2, 0], ""is_center"": false, ""vertex_id"": 28}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 30}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 22}, {""content"": [2, 0, 0, 0, 1, 0, 0, 0, 2], ""is_center"": false, ""vertex_id"": 36}]","[{""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": true, ""vertex_id"": 29}, {""content"": [1, 2, 0, 1, 2, 0, 1, 2, 0], ""is_center"": false, ""vertex_id"": 28}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 30}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 22}, {""content"": [2, 0, 0, 0, 1, 0, 0, 0, 2], ""is_center"": false, ""vertex_id"": 36}]",29,"[28, 22, 30, 36]",,,,,,,,,
