id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,assignment_id,event_type
1,2022-12-02 17:32:14.500675,,,,,,f,,,{},3JPSL1DZ5UN79IPKV38FRI7KPYLANN,AssignmentAccepted
2,2022-12-02 17:32:14.740497,,,,,,f,,,{},30JNVC0ORB87M2AQH1AOCYPT74XQH0,AssignmentAccepted
3,2022-12-02 17:32:14.837674,,,,,,f,,,{},3Q8GYXHFERQRC8GCBH8K3WXMYG65CU,AssignmentAccepted
4,2022-12-02 17:32:14.950278,,,,,,f,,,{},3M1CVSFP62TSCF2CBV0WVC2PU98AQA,AssignmentAccepted
5,2022-12-02 17:32:15.005222,,,,,,f,,,{},39GXDJN2OV26YZ5E0WAS58V2LDMV8K,AssignmentAccepted
6,2022-12-02 17:32:15.082161,,,,,,f,,,{},3YHH42UU5D3LK5OHROV7PKRIBH90LK,AssignmentAccepted
7,2022-12-02 17:32:15.701602,,,,,,f,,,{},32N49TQG3I6KHNYTXUU61Z1XB1MVAO,AssignmentAccepted
8,2022-12-02 17:32:15.73595,,,,,,f,,,{},3UN61F00HYDVIA5VTEYFSRW8YH95R0,AssignmentAccepted
9,2022-12-02 17:32:15.769869,,,,,,f,,,{},3WETL7AQWVW3Z8KTIOXJATTSS3T35U,AssignmentAccepted
10,2022-12-02 17:32:15.805055,,,,,,f,,,{},3RKNTXVS3OMLNAFEDYTJS91KYHQA4S,AssignmentAccepted
11,2022-12-02 17:32:15.914386,,,,,,f,,,{},3VNXK88KKE66C4OO5OG654QD5J4V99,AssignmentAccepted
12,2022-12-02 17:32:15.972152,,,,,,f,,,{},3FFJ6VRIL3CJU4GB6LYUX4ZQUDF0I6,AssignmentAccepted
13,2022-12-02 17:32:15.985177,,,,,,f,,,{},3UJ1CZ6IZJD7JP5883YKI114KJS5SO,AssignmentAccepted
14,2022-12-02 17:32:15.993096,,,,,,f,,,{},39JEC7537WP8A2VRH8QX7URLB47VCQ,AssignmentAccepted
15,2022-12-02 17:32:16.453194,,,,,,f,,,{},3Z7EFSHGNB20ER0MHNRFVFO6RFGCXB,AssignmentAccepted
16,2022-12-02 17:32:16.611165,,,,,,f,,,{},3QECW5O0KJP8YPINX33AS6XQM25T50,AssignmentAccepted
17,2022-12-02 17:32:16.811659,,,,,,f,,,{},3I2PTA7R3VIYOSBYNMDLPQ5LZL1QK4,AssignmentAccepted
18,2022-12-02 17:32:16.831464,,,,,,f,,,{},3AUQQEL7U7HOGA0B5SXDCTPK2FAV0X,AssignmentAccepted
19,2022-12-02 17:32:17.286067,,,,,,f,,,{},3OHYZ19UGETPR3PWWI8S677PF8QAO2,AssignmentAccepted
20,2022-12-02 17:32:17.984049,,,,,,f,,,{},3FTOP5WARHCFPF0HO3JU95EQ7S40JI,AssignmentAccepted
21,2022-12-02 17:33:15.078102,,,,,,f,,,{},39GXDJN2OV26YZ5E0WAS58V2LDMV8K,AssignmentReturned
22,2022-12-02 17:33:32.095209,,,,,,f,,,{},39GXDJN2OV26YZ5E0WAS58V2LDMV8K,AssignmentAccepted
23,2022-12-02 17:40:22.568866,,,,,,f,,,{},39JEC7537WP8A2VRH8QX7URLB47VCQ,AssignmentReturned
24,2022-12-02 17:40:36.11866,,,,,,f,,,{},39JEC7537WP8A2VRH8QX7URLB47VCQ,AssignmentAccepted
25,2022-12-02 17:43:24.629579,,,,,,f,,,{},39GXDJN2OV26YZ5E0WAS58V2LDMV8K,AssignmentReturned
26,2022-12-02 17:43:27.453757,,,,,,f,,,{},3OHYZ19UGETPR3PWWI8S677PF8QAO2,AssignmentReturned
27,2022-12-02 17:43:28.236459,,,,,,f,,,{},3OHYZ19UGETPR3PWWI8S677PF8QAO2,AssignmentAccepted
28,2022-12-02 17:43:37.21514,,,,,,f,,,{},3Z7EFSHGNB20ER0MHNRFVFO6RFGCXB,AssignmentSubmitted
29,2022-12-02 17:43:48.260208,,,,,,f,,,{},3EA3QWIZ4KJKADD24NM4HF1VROFIT3,AssignmentAccepted
30,2022-12-02 17:43:48.792408,,,,,,f,,,{},39GXDJN2OV26YZ5E0WAS58V2LDMV8K,AssignmentAccepted
31,2022-12-02 17:43:57.138636,,,,,,f,,,{},3FTOP5WARHCFPF0HO3JU95EQ7S40JI,AssignmentReturned
32,2022-12-02 17:43:58.262129,,,,,,f,,,{},3FTOP5WARHCFPF0HO3JU95EQ7S40JI,AssignmentAccepted
33,2022-12-02 17:48:59.729375,,,,,,f,,,"{""feedback"": """", ""error_text"": ""There has been an error and so you are unable to continue, sorry!"", ""error_type"": ""already_did_exp_hit"", ""request_data"": {""hit_id"": null, ""worker_id"": null, ""participant_id"": null}}",unknown,ExperimentError
34,2022-12-02 17:49:31.484903,,,,,,f,,,{},3JPSL1DZ5UN79IPKV38FRI7KPYLANN,AssignmentSubmitted
35,2022-12-02 17:49:33.481167,,,,,,f,,,"{""feedback"": ""error"", ""error_text"": ""There has been an error and so you are unable to continue, sorry!"", ""error_type"": ""already_did_exp_hit"", ""request_data"": {""hit_id"": null, ""worker_id"": null, ""participant_id"": null}}",unknown,ExperimentError
36,2022-12-02 17:49:46.26111,,,,,,f,,,{},3FTOP5WARHCFPF0HO3JU95EQ7S40JI,AssignmentReturned
37,2022-12-02 17:49:48.526486,,,,,,f,,,{},3YOH7BII0BVQT07F9L7VVD4TGDLKVX,AssignmentAccepted
38,2022-12-02 17:50:13.263697,,,,,,f,,,{},3FTOP5WARHCFPF0HO3JU95EQ7S40JI,AssignmentAccepted
39,2022-12-02 17:53:41.624372,,,,,,f,,,"{""feedback"": ""when i went to submit it was still on begin experiment so I refreshed and this is the page that came up."", ""error_text"": ""There has been an error and so you are unable to continue, sorry!"", ""error_type"": ""already_did_exp_hit"", ""request_data"": {""hit_id"": null, ""worker_id"": null, ""participant_id"": null}}",unknown,ExperimentError
40,2022-12-02 17:59:42.680352,,,,,,f,,,{},3WETL7AQWVW3Z8KTIOXJATTSS3T35U,AssignmentSubmitted
41,2022-12-02 17:59:45.262962,,,,,,f,,,{},3907X2AHF2TI706TY3SSPPTHDP1P2Y,AssignmentAccepted
42,2022-12-02 18:01:50.191628,,,,,,f,,,{},3OHYZ19UGETPR3PWWI8S677PF8QAO2,AssignmentSubmitted
43,2022-12-02 18:01:59.127515,,,,,,f,,,{},3IQ1VMJRYV8MKGLQUTPA9HC0KAC9AX,AssignmentAccepted
44,2022-12-02 18:03:40.680276,,,,,,f,,,{},3VNXK88KKE66C4OO5OG654QD5J4V99,AssignmentReturned
45,2022-12-02 18:03:45.279258,,,,,,f,,,{},3VNXK88KKE66C4OO5OG654QD5J4V99,AssignmentAccepted
46,2022-12-02 18:11:27.833687,,,,,,f,,,{},3IQ1VMJRYV8MKGLQUTPA9HC0KAC9AX,AssignmentSubmitted
47,2022-12-02 18:11:47.571496,,,,,,f,,,{},39L1G8WVWSF4BQJAH1V773GBGOY13M,AssignmentAccepted
48,2022-12-02 18:15:33.273509,,,,,,f,,,{},3FTOP5WARHCFPF0HO3JU95EQ7S40JI,AssignmentSubmitted
