id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_
1,2022-12-02 17:32:52.60183,,,,,,f,,,{},Response,2,untitled,"{""princeton_consent"": true}",PrincetonConsentPage,,128.254.165.4,"{""time_taken"": 11.115, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:32:41.494Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:32:41.528Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:32:41.535Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:32:41.551Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:32:41.552Z"", ""info"": null}]}"
2,2022-12-02 17:32:55.702975,,,,,,f,,,{},Response,2,untitled,,InfoPage,,128.254.165.4,"{""time_taken"": 2.695, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:32:53.017Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:32:53.046Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:32:53.051Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:32:53.060Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:32:53.061Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>We will now perform a quick test to check your ability to perceive colors.</p>\\u000a            <p>\\u000a                In each trial, you will be presented with an image that contains a number.\\u000a                This image will disappear after 3.0 seconds.\\u000a                You must enter the number that you see into the text box.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
3,2022-12-02 17:33:05.905738,,,,,,f,,,{},Response,2,color_blindness_trial,"""8""",ModularPage,,128.254.165.4,"{""time_taken"": 8.926, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:32:56.963Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:32:56.991Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:32:56.996Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:32:57.006Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:32:57.007Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:32:57.007Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:33:00.013Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-2.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
4,2022-12-02 17:33:13.301223,,,,,,f,,,{},Response,2,color_blindness_trial,"""5""",ModularPage,,128.254.165.4,"{""time_taken"": 6.687, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:06.606Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:06.618Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:06.622Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:33:06.633Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:06.633Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:06.634Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:33:09.639Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-4.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
5,2022-12-02 17:33:20.666931,,,,,,f,,,{},Response,2,color_blindness_trial,"""3""",ModularPage,,128.254.165.4,"{""time_taken"": 6.16, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:14.496Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:14.508Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:14.513Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:33:14.526Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:14.527Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:14.527Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:33:17.536Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-5.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
6,2022-12-02 17:33:27.523019,,,,,,f,,,{},Response,2,color_blindness_trial,"""12""",ModularPage,,128.254.165.4,"{""time_taken"": 6.155, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:21.363Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:21.375Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:21.380Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:33:21.390Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:21.391Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:21.391Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:33:24.396Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-1.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
7,2022-12-02 17:33:31.76257,,,,,,f,,,{},Response,3,untitled,"{""princeton_consent"": true}",PrincetonConsentPage,,97.121.215.179,"{""time_taken"": 6.71, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 7.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:28.393Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:28.646Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:28.659Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:28.679Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:28.680Z"", ""info"": null}]}"
15,2022-12-02 17:33:59.716815,,,,,,f,,,{},Response,2,untitled,,InfoPage,,128.254.165.4,"{""time_taken"": 2.302, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:57.413Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:57.424Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:57.429Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:57.438Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:57.438Z"", ""info"": null}], ""content"": ""You will complete up to 30 rounds, where each round presents a new set of necklaces.""}"
8,2022-12-02 17:33:34.444645,,,,,,f,,,{},Response,2,color_blindness_trial,"""29""",ModularPage,,128.254.165.4,"{""time_taken"": 6.031, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:28.394Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:28.405Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:28.410Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:33:28.420Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:28.420Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:28.421Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:33:31.426Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-3.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
9,2022-12-02 17:33:41.342154,,,,,,f,,,{},Response,2,color_blindness_trial,"""15""",ModularPage,,128.254.165.4,"{""time_taken"": 5.997, ""platform"": ""Chrome 105.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.95, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-02T17:33:35.340Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-02T17:33:35.355Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-02T17:33:35.360Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-02T17:33:35.373Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-02T17:33:35.374Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-02T17:33:35.374Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-02T17:33:38.380Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-6.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
