,0,1,2
0,"(0.29, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.02, ""['a', 'b', 'c', 'c', 'c', 'a', 'b', 'c', 'c']"")","(0.02, ""['a', 'b', 'c', 'c', 'b', 'c', 'c', 'a', 'b']"")"
1,"(0.53, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.02, ""['a', 'b', 'c', 'c', 'b', 'c', 'c', 'a', 'b']"")","(0.02, ""['a', 'b', 'c', 'b', 'b', 'b', 'c', 'b', 'b']"")"
2,"(0.53, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(0.02, ""['a', 'b', 'c', 'c', 'a', 'b', 'b', 'c', 'b']"")"
3,"(0.69, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(0.02, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'b', 'a']"")"
4,"(0.71, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")"
5,"(0.69, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")"
6,"(0.65, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.06, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")"
7,"(0.49, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"")"
8,"(0.49, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"")"
9,"(0.49, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"")"
10,"(0.61, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")"
11,"(0.71, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.02, ""['a', 'b', 'c', 'b', 'b', 'b', 'a', 'c', 'c']"")"
12,"(0.8, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")"
13,"(0.84, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")"
14,"(0.82, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(0.02, ""['a', 'b', 'c', 'a', 'a', 'c', 'a', 'c', 'a']"")"
15,"(0.71, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(0.04, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
16,"(0.65, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(0.04, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")"
17,"(0.71, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")"
18,"(0.78, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.02, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")"
19,"(0.86, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.02, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'b']"")"
20,"(0.8, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(0.04, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")"
