,0,1
0,689,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"
1,41,"['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"
2,23,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"
3,23,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"
4,19,"['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"
5,15,"['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"
6,14,"['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"
7,12,"['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"
8,10,"['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"
9,10,"['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"
10,8,"['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'a']"
11,7,"['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"
12,7,"['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"
13,6,"['a', 'a', 'b', 'c', 'c', 'c', 'c', 'c', 'c']"
14,6,"['a', 'a', 'b', 'c', 'b', 'a', 'c', 'a', 'a']"
15,6,"['a', 'a', 'b', 'a', 'b', 'b', 'b', 'a', 'c']"
16,6,"['a', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"
17,6,"['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"
18,5,"['a', 'b', 'c', 'b', 'b', 'a', 'a', 'a', 'a']"
19,5,"['a', 'b', 'c', 'a', 'c', 'a', 'b', 'b', 'a']"
20,5,"['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"
21,5,"['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"
22,5,"['a', 'b', 'a', 'c', 'a', 'b', 'a', 'a', 'b']"
23,5,"['a', 'a', 'b', 'c', 'b', 'b', 'b', 'c', 'a']"
24,5,"['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'b']"
25,5,"['a', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'b']"
26,4,"['a', 'b', 'c', 'b', 'a', 'c', 'b', 'a', 'b']"
27,4,"['a', 'b', 'a', 'c', 'ERR', 'b', 'b', 'c', 'a']"
28,4,"['a', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"
29,4,"['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'a']"
30,4,"['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"
31,4,"['a', 'a', 'a', 'a', 'b', 'b', 'a', 'b', 'a']"
32,4,"['a', 'a', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"
33,4,"['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'b']"
34,3,"['a', 'b', 'c', 'b', 'b', 'b', 'a', 'a', 'a']"
35,3,"['a', 'b', 'c', 'a', 'a', 'c', 'a', 'c', 'a']"
36,3,"['a', 'b', 'b', 'a', 'b', 'b', 'c', 'a', 'c']"
37,3,"['a', 'b', 'a', 'c', 'c', 'a', 'c', 'a', 'a']"
38,3,"['a', 'a', 'b', 'c', 'ERR', 'c', 'a', 'a', 'a']"
39,3,"['a', 'a', 'a', 'b', 'c', 'a', 'c', 'a', 'a']"
