,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35
0,"(14, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'c', 'a', 'b', 'c', 'c']"")","(1, ""['a', 'b', 'c', 'c', 'b', 'c', 'c', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'c', 'b', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'b', 'b', 'b', 'c', 'b', 'b']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'b', 'c', 'a', 'a', 'c', 'a', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'c', 'b', 'c', 'c', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'c', 'a', 'c', 'b', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'b', 'a', 'a', 'c', 'b']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'c', 'c', 'c', 'a']"")","(1, ""['a', 'b', 'b', 'b', 'a', 'a', 'c', 'c', 'b']"")","(1, ""['a', 'b', 'b', 'a', 'c', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'c', 'a', 'b', 'a', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'c', 'a', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'c', 'b', 'b', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'a', 'c', 'a', 'c']"")","(1, ""['a', 'b', 'a', 'c', 'c', 'c', 'b', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'c', 'b', 'b', 'b']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'b', 'b', 'b', 'c']"")","(1, ""['a', 'b', 'a', 'b', 'c', 'c', 'b', 'b', 'c']"")","(1, ""['a', 'b', 'a', 'b', 'c', 'a', 'c', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'b', 'b', 'c', 'c', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'b', 'a', 'b', 'c']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'c', 'a', 'c', 'b', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'a', 'c', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'c', 'a', 'a', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'b', 'b', 'b', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'c', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'b', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'c', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")"
1,"(26, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'b', 'c', 'c', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'b', 'b', 'c', 'b', 'b']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'c', 'a', 'c', 'b']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'c', 'a', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'c', 'a', 'a', 'c', 'b']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'c', 'a', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'b', 'c', 'b', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'a', 'c', 'a', 'c']"")","(1, ""['a', 'b', 'a', 'c', 'c', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'c', 'c', 'b', 'b', 'c']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'c', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'b', 'a', 'b', 'c']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'a', 'c', 'b', 'b', 'b']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'a', 'a', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'a', 'b', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'a', 'c', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'c', 'a', 'a', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'b', 'b', 'b', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")",,,,,,,,,,,,
2,"(26, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'a', 'b', 'b', 'c', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'b', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'c', 'a', 'a', 'c', 'b']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'b', 'c', 'a', 'c']"")","(1, ""['a', 'b', 'b', 'a', 'a', 'b', 'c', 'b', 'c']"")","(1, ""['a', 'b', 'a', 'c', 'c', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'b', 'a', 'b', 'a', 'c']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'a', 'b', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'b', 'a', 'a', 'a', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'a', 'b', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,
3,"(34, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'b', 'a', 'b', 'a', 'b', 'a', 'c']"")","(1, ""['a', 'b', 'a', 'c', 'c', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'c', 'ERR', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'a', 'b', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,
4,"(35, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'c', 'ERR', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'b', 'b', 'c', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,,
5,"(34, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'c', 'c', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'b', 'a', 'c', 'a', 'b', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'c', 'c', 'a', 'c', 'c']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")",,,,,,,,,,,,,,,,,,,,,,,
6,"(32, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(3, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'b', 'ERR', 'ERR', 'ERR', 'b']"")","(1, ""['a', 'b', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")",,,,,,,,,,,,,,,,,,,,,,,
7,"(24, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(4, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'b', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'c', 'b', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'c', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'a', 'c', 'c', 'c']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'b']"")",,,,,,,,,,,,,,,,,
8,"(24, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(5, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'c', 'b', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'b', 'b', 'a', 'a', 'c', 'a']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'b']"")",,,,,,,,,,,,,,,,,,
9,"(24, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(5, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'b']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(2, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'b', 'c', 'b', 'a', 'c', 'b', 'a', 'b']"")","(1, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'c', 'b', 'c', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'b', 'b', 'b', 'a', 'c']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(1, ""['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'c', 'a', 'c', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'b']"")","(1, ""['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'b', 'b', 'a', 'b', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'b', 'b']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"")","(1, ""['a', 'a', 'a', 'a', 'a', 'a', 'b', 'b', 'b']"")",,,,,,,,,,,,,,,,,
