,0,1,2
0,"(0.37, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"")","(0.04, ""['a', 'b', 'a', 'b', 'b', 'b', 'b', 'c', 'b']"")"
1,"(0.84, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.02, ""['a', 'b', 'c', 'a', 'c', 'a', 'b', 'c', 'a']"")","(0.02, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'a']"")"
2,"(0.51, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")"
3,"(0.73, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")"
4,"(0.82, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.1, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.02, ""['a', 'b', 'c', 'c', 'c', 'c', 'c', 'b', 'a']"")"
5,"(0.88, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'b', 'b', 'a', 'c', 'a', 'b', 'b', 'a']"")"
6,"(0.82, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'b', 'a', 'b', 'a', 'a', 'a']"")"
7,"(0.69, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(0.02, ""['a', 'b', 'c', 'c', 'b', 'b', 'c', 'c', 'a']"")"
8,"(0.47, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.18, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(0.06, ""['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"")"
9,"(0.47, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.16, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")","(0.1, ""['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"")"
