,0,1
0,737,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"
1,73,"['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"
2,47,"['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"
3,23,"['a', 'b', 'b', 'b', 'c', 'b', 'b', 'b', 'a']"
4,23,"['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"
5,11,"['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"
6,7,"['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"
7,7,"['a', 'a', 'b', 'a', 'a', 'b', 'a', 'a', 'b']"
8,7,"['a', 'a', 'a', 'a', 'b', 'a', 'b', 'a', 'a']"
9,6,"['a', 'a', 'b', 'b', 'c', 'c', 'b', 'b', 'a']"
10,6,"['a', 'a', 'b', 'b', 'a', 'a', 'b', 'b', 'a']"
11,5,"['a', 'a', 'a', 'b', 'a', 'a', 'a', 'b', 'a']"
12,5,"['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'a']"
13,4,"['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"
14,4,"['a', 'b', 'b', 'b', 'a', 'b', 'b', 'b', 'a']"
15,3,"['a', 'b', 'c', 'c', 'c', 'c', 'c', 'b', 'a']"
16,3,"['a', 'b', 'b', 'a', 'c', 'a', 'b', 'b', 'a']"
17,3,"['a', 'b', 'b', 'a', 'b', 'b', 'a', 'b', 'b']"
18,3,"['a', 'b', 'a', 'a', 'b', 'a', 'a', 'b', 'a']"
19,3,"['a', 'b', 'a', 'a', 'a', 'b', 'a', 'a', 'a']"
20,3,"['a', 'a', 'a', 'b', 'a', 'b', 'a', 'a', 'a']"
21,2,"['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"
22,2,"['a', 'b', 'c', 'a', 'b', 'a', 'c', 'b', 'a']"
23,2,"['a', 'b', 'c', 'a', 'b', 'a', 'b', 'c', 'a']"
24,2,"['a', 'b', 'a', 'b', 'c', 'b', 'a', 'b', 'a']"
25,2,"['a', 'b', 'a', 'b', 'b', 'b', 'b', 'c', 'b']"
26,2,"['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"
27,2,"['a', 'a', 'b', 'a', 'a', 'c', 'c', 'c', 'c']"
28,2,"['a', 'a', 'b', 'a', 'a', 'c', 'c', 'b', 'a']"
29,2,"['a', 'a', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"
30,1,"['a', 'b', 'c', 'c', 'b', 'c', 'c', 'b', 'a']"
31,1,"['a', 'b', 'c', 'c', 'b', 'b', 'c', 'c', 'a']"
32,1,"['a', 'b', 'c', 'c', 'b', 'a', 'b', 'c', 'b']"
33,1,"['a', 'b', 'c', 'c', 'a', 'a', 'b', 'a', 'c']"
34,1,"['a', 'b', 'c', 'b', 'c', 'a', 'b', 'a', 'c']"
35,1,"['a', 'b', 'c', 'b', 'b', 'a', 'b', 'b', 'b']"
36,1,"['a', 'b', 'c', 'b', 'a', 'c', 'a', 'b', 'c']"
37,1,"['a', 'b', 'c', 'a', 'c', 'a', 'b', 'c', 'a']"
38,1,"['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'a']"
39,1,"['a', 'b', 'c', 'a', 'b', 'a', 'c', 'b', 'c']"
40,1,"['a', 'b', 'c', 'a', 'a', 'a', 'a', 'a', 'a']"
41,1,"['a', 'b', 'b', 'c', 'c', 'c', 'b', 'b', 'a']"
42,1,"['a', 'b', 'b', 'c', 'c', 'b', 'b', 'c', 'a']"
43,1,"['a', 'b', 'b', 'b', 'b', 'c', 'a', 'c', 'a']"
44,1,"['a', 'b', 'b', 'b', 'b', 'a', 'a', 'a', 'b']"
45,1,"['a', 'b', 'b', 'b', 'a', 'c', 'a', 'a', 'a']"
46,1,"['a', 'b', 'b', 'b', 'a', 'b', 'a', 'a', 'b']"
47,1,"['a', 'b', 'b', 'a', 'b', 'b', 'b', 'b', 'b']"
48,1,"['a', 'b', 'b', 'a', 'b', 'a', 'b', 'b', 'a']"
49,1,"['a', 'b', 'b', 'a', 'a', 'b', 'b', 'c', 'a']"
50,1,"['a', 'b', 'a', 'c', 'c', 'c', 'c', 'c', 'a']"
51,1,"['a', 'b', 'a', 'c', 'b', 'c', 'a', 'b', 'a']"
52,1,"['a', 'b', 'a', 'c', 'a', 'c', 'a', 'b', 'a']"
53,1,"['a', 'b', 'a', 'c', 'a', 'b', 'c', 'a', 'b']"
54,1,"['a', 'b', 'a', 'c', 'a', 'b', 'a', 'b', 'c']"
55,1,"['a', 'b', 'a', 'c', 'a', 'a', 'c', 'c', 'a']"
