,0,1,2
0,"(0.12, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(0.06, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
1,"(0.37, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.16, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(0.12, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
2,"(0.67, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.18, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(0.06, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
3,"(0.82, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.12, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(0.04, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
4,"(0.82, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")","(0.06, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
5,"(0.82, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"")"
6,"(0.57, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.12, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")"
7,"(0.57, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.16, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.1, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
8,"(0.67, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.14, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.06, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
9,"(0.71, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.16, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"")"
10,"(0.76, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.14, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")"
11,"(0.82, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.14, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"")"
12,"(0.57, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")"
13,"(0.84, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.02, ""['a', 'b', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"")","(0.02, ""['a', 'b', 'a', 'c', 'a', 'a', 'a', 'a', 'a']"")"
14,"(0.59, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"")","(0.04, ""['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")"
15,"(0.27, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"")"
16,"(0.31, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(0.08, ""['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"")"
17,"(0.49, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")","(0.06, ""['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"")"
18,"(0.45, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.12, ""['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c']"")","(0.08, ""['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"")"
19,"(0.55, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.08, ""['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"")","(0.04, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'b']"")"
20,"(0.61, ""['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"")","(0.04, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'c', 'c']"")","(0.04, ""['a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'b']"")"
