,0,1
0,611,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"
1,53,"['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'a']"
2,42,"['a', 'a', 'a', 'a', 'b', 'c', 'c', 'c', 'c']"
3,37,"['a', 'b', 'b', 'a', 'a', 'a', 'a', 'a', 'a']"
4,19,"['a', 'b', 'a', 'a', 'a', 'a', 'a', 'b', 'a']"
5,17,"['a', 'b', 'b', 'b', 'b', 'b', 'b', 'b', 'a']"
6,15,"['a', 'a', 'a', 'a', 'a', 'b', 'b', 'b', 'b']"
7,13,"['a', 'b', 'a', 'b', 'a', 'b', 'a', 'b', 'a']"
8,12,"['a', 'a', 'b', 'b', 'b', 'b', 'b', 'b', 'b']"
9,12,"['a', 'a', 'a', 'b', 'b', 'b', 'c', 'c', 'c']"
10,10,"['a', 'b', 'c', 'a', 'b', 'c', 'a', 'b', 'c']"
11,10,"['a', 'a', 'b', 'b', 'c', 'b', 'b', 'a', 'a']"
12,9,"['a', 'b', 'a', 'a', 'a', 'a', 'a', 'a', 'a']"
13,9,"['a', 'a', 'b', 'b', 'b', 'b', 'b', 'a', 'a']"
14,9,"['a', 'a', 'a', 'b', 'b', 'b', 'a', 'a', 'a']"
15,9,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'a', 'b']"
16,5,"['a', 'a', 'a', 'b', 'c', 'c', 'c', 'b', 'b']"
17,5,"['a', 'a', 'a', 'b', 'b', 'b', 'b', 'b', 'b']"
18,5,"['a', 'a', 'a', 'a', 'b', 'b', 'b', 'b', 'b']"
19,5,"['a', 'a', 'a', 'a', 'b', 'a', 'a', 'a', 'b']"
20,4,"['a', 'a', 'b', 'a', 'a', 'a', 'c', 'a', 'a']"
21,4,"['a', 'a', 'a', 'b', 'c', 'b', 'a', 'a', 'a']"
22,4,"['a', 'a', 'a', 'b', 'a', 'a', 'a', 'a', 'a']"
23,4,"['a', 'a', 'a', 'a', 'a', 'a', 'b', 'a', 'b']"
24,4,"['a', 'a', 'a', 'a', 'a', 'a', 'a', 'b', 'b']"
25,3,"['a', 'b', 'b', 'a', 'a', 'a', 'b', 'b', 'a']"
26,3,"['a', 'a', 'a', 'b', 'b', 'c', 'c', 'c', 'c']"
