id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,network_id,participant_id,awaiting_async_process,pending_async_processes,failed_async_processes,degree,child_id,seed,definition,vertex_id,dependent_vertex_ids,target_num_trials,stimulus_id,phase,participant_group,block,has_media,s3_bucket,remote_media_dir,media_id
1,2022-12-06 02:07:53.279691,,,,,,f,,,{},graph_chain_source,2,,f,{},{},,,"[{""content"": [2, 1, 0, 2, 2, 0, 1, 2, 0], ""is_center"": true, ""vertex_id"": 0}]",{},,,,,,,,,,,
6,2022-12-06 02:07:53.412524,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,4,,f,{},{},1,144,"[{""content"": [0, 2, 0, 2, 0, 1, 2, 2, 0], ""is_center"": true, ""vertex_id"": 2}]","[{""content"": [0, 2, 0, 2, 0, 1, 2, 2, 0], ""is_center"": true, ""vertex_id"": 2}]",2,[],,,,,,,,,
3,2022-12-06 02:07:53.34152,,,,,,f,,,{},graph_chain_source,3,,f,{},{},,,"[{""content"": [1, 0, 1, 2, 2, 2, 0, 0, 2], ""is_center"": true, ""vertex_id"": 1}]",{},,,,,,,,,,,
12,2022-12-06 02:07:53.549716,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,7,,f,{},{},1,127,"[{""content"": [2, 2, 2, 0, 1, 1, 2, 2, 0], ""is_center"": true, ""vertex_id"": 5}]","[{""content"": [2, 2, 2, 0, 1, 1, 2, 2, 0], ""is_center"": true, ""vertex_id"": 5}]",5,[],,,,,,,,,
5,2022-12-06 02:07:53.394766,,,,,,f,,,{},graph_chain_source,4,,f,{},{},,,"[{""content"": [0, 2, 0, 2, 0, 1, 2, 2, 0], ""is_center"": true, ""vertex_id"": 2}]",{},,,,,,,,,,,
18,2022-12-06 02:07:53.688029,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,10,,f,{},{},1,153,"[{""content"": [2, 1, 2, 0, 2, 1, 1, 1, 2], ""is_center"": true, ""vertex_id"": 8}]","[{""content"": [2, 1, 2, 0, 2, 1, 1, 1, 2], ""is_center"": true, ""vertex_id"": 8}]",8,[],,,,,,,,,
7,2022-12-06 02:07:53.440965,,,,,,f,,,{},graph_chain_source,5,,f,{},{},,,"[{""content"": [0, 1, 0, 2, 1, 1, 2, 1, 0], ""is_center"": true, ""vertex_id"": 3}]",{},,,,,,,,,,,
2,2022-12-06 02:07:53.309122,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,2,,f,{},{},1,142,"[{""content"": [2, 1, 0, 2, 2, 0, 1, 2, 0], ""is_center"": true, ""vertex_id"": 0}]","[{""content"": [2, 1, 0, 2, 2, 0, 1, 2, 0], ""is_center"": true, ""vertex_id"": 0}]",0,[],,,,,,,,,
9,2022-12-06 02:07:53.489024,,,,,,f,,,{},graph_chain_source,6,,f,{},{},,,"[{""content"": [1, 1, 1, 1, 1, 0, 2, 2, 0], ""is_center"": true, ""vertex_id"": 4}]",{},,,,,,,,,,,
14,2022-12-06 02:07:53.593221,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,8,,f,{},{},1,132,"[{""content"": [0, 1, 2, 2, 2, 0, 1, 1, 1], ""is_center"": true, ""vertex_id"": 6}]","[{""content"": [0, 1, 2, 2, 2, 0, 1, 1, 1], ""is_center"": true, ""vertex_id"": 6}]",6,[],,,,,,,,,
