id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_
1,2022-12-06 02:09:06.609719,,,,,,f,,,{},Response,1,untitled,"{""princeton_consent"": true}",PrincetonConsentPage,,98.58.161.58,"{""time_taken"": 1.991, ""platform"": ""Chrome 107.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:04.574Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:04.587Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:04.592Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:04.600Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:04.600Z"", ""info"": null}]}"
2,2022-12-06 02:09:12.086042,,,,,,f,,,{},Response,1,untitled,,InfoPage,,98.58.161.58,"{""time_taken"": 4.913, ""platform"": ""Chrome 107.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:07.140Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:07.144Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:07.148Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:07.158Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:07.159Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>We will now perform a quick test to check your ability to perceive colors.</p>\\u000a            <p>\\u000a                In each trial, you will be presented with an image that contains a number.\\u000a                This image will disappear after 3.0 seconds.\\u000a                You must enter the number that you see into the text box.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
3,2022-12-06 02:09:21.601072,,,,,,f,,,{},Response,1,color_blindness_trial,"""29""",ModularPage,,98.58.161.58,"{""time_taken"": 8.58, ""platform"": ""Chrome 107.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:12.986Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:12.990Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:12.994Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-06T02:09:13.003Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:13.003Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:13.003Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-06T02:09:16.010Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-3.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
4,2022-12-06 02:09:34.236735,,,,,,f,,,{},Response,2,untitled,"{""princeton_consent"": true}",PrincetonConsentPage,,76.120.190.164,"{""time_taken"": 15.015, ""platform"": ""Chrome 103.0.0.0 on Chrome OS 64-bit"", ""download_speed_megabits_per_sec"": 5.55, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:19.525Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:19.593Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:19.615Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:19.626Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:19.627Z"", ""info"": null}]}"
5,2022-12-06 02:09:36.967022,,,,,,f,,,{},Response,3,untitled,"{""princeton_consent"": true}",PrincetonConsentPage,,202.182.69.209,"{""time_taken"": 5.669, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 3, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:31.265Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:31.451Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:31.456Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:31.469Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:31.470Z"", ""info"": null}]}"
6,2022-12-06 02:09:42.183977,,,,,,f,,,{},Response,4,untitled,"{""princeton_consent"": true}",PrincetonConsentPage,,74.71.23.203,"{""time_taken"": 6.705, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4.6, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:37.960Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:38.084Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:38.089Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:38.098Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:38.099Z"", ""info"": null}]}"
7,2022-12-06 02:09:47.204041,,,,,,f,,,{},Response,4,untitled,,InfoPage,,74.71.23.203,"{""time_taken"": 4.591, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 7.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:45.099Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:45.116Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:45.121Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:45.130Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:45.131Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>We will now perform a quick test to check your ability to perceive colors.</p>\\u000a            <p>\\u000a                In each trial, you will be presented with an image that contains a number.\\u000a                This image will disappear after 3.0 seconds.\\u000a                You must enter the number that you see into the text box.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
8,2022-12-06 02:09:47.978353,,,,,,f,,,{},Response,3,untitled,,InfoPage,,202.182.69.209,"{""time_taken"": 9.072, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:38.902Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:38.946Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:38.951Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:38.961Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:38.961Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>We will now perform a quick test to check your ability to perceive colors.</p>\\u000a            <p>\\u000a                In each trial, you will be presented with an image that contains a number.\\u000a                This image will disappear after 3.0 seconds.\\u000a                You must enter the number that you see into the text box.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
9,2022-12-06 02:09:50.497836,,,,,,f,,,{},Response,1,color_blindness_trial,"""5""",ModularPage,,98.58.161.58,"{""time_taken"": 28.041, ""platform"": ""Chrome 107.0.0.0 on OS X 10.15.7 64-bit"", ""download_speed_megabits_per_sec"": 10, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:22.430Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:22.433Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:22.437Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-06T02:09:22.445Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:22.446Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:22.446Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-06T02:09:25.451Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-5.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
10,2022-12-06 02:09:55.990196,,,,,,f,,,{},Response,4,color_blindness_trial,"""5""",ModularPage,,74.71.23.203,"{""time_taken"": 7.804, ""platform"": ""Chrome 108.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 7.45, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2022-12-06T02:09:50.652Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2022-12-06T02:09:50.667Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2022-12-06T02:09:50.673Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2022-12-06T02:09:50.681Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2022-12-06T02:09:50.681Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2022-12-06T02:09:50.682Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2022-12-06T02:09:53.688Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-4.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
