id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,origin_id,destination_id,network_id
1,2022-12-06 02:07:53.321129,,,,,,f,,,{},vector,1,2,2
2,2022-12-06 02:07:53.375389,,,,,,f,,,{},vector,3,4,3
3,2022-12-06 02:07:53.425192,,,,,,f,,,{},vector,5,6,4
4,2022-12-06 02:07:53.469815,,,,,,f,,,{},vector,7,8,5
5,2022-12-06 02:07:53.516415,,,,,,f,,,{},vector,9,10,6
6,2022-12-06 02:07:53.559858,,,,,,f,,,{},vector,11,12,7
7,2022-12-06 02:07:53.609847,,,,,,f,,,{},vector,13,14,8
8,2022-12-06 02:07:53.654248,,,,,,f,,,{},vector,15,16,9
9,2022-12-06 02:07:53.698308,,,,,,f,,,{},vector,17,18,10
10,2022-12-06 02:07:53.740284,,,,,,f,,,{},vector,19,20,11
11,2022-12-06 02:07:53.787166,,,,,,f,,,{},vector,21,22,12
12,2022-12-06 02:07:53.829629,,,,,,f,,,{},vector,23,24,13
13,2022-12-06 02:07:53.872859,,,,,,f,,,{},vector,25,26,14
14,2022-12-06 02:07:53.916897,,,,,,f,,,{},vector,27,28,15
15,2022-12-06 02:07:53.959839,,,,,,f,,,{},vector,29,30,16
16,2022-12-06 02:07:54.002451,,,,,,f,,,{},vector,31,32,17
17,2022-12-06 02:07:54.045662,,,,,,f,,,{},vector,33,34,18
18,2022-12-06 02:07:54.089137,,,,,,f,,,{},vector,35,36,19
19,2022-12-06 02:07:54.138137,,,,,,f,,,{},vector,37,38,20
20,2022-12-06 02:07:54.191598,,,,,,f,,,{},vector,39,40,21
21,2022-12-06 02:07:54.238214,,,,,,f,,,{},vector,42,44,22
22,2022-12-06 02:07:54.28102,,,,,,f,,,{},vector,45,46,23
23,2022-12-06 02:07:54.299953,,,,,,f,,,{},vector,41,43,1
24,2022-12-06 02:07:54.311253,,,,,,f,,,{},vector,43,48,1
25,2022-12-06 02:07:54.321843,,,,,,f,,,{},vector,41,49,1
26,2022-12-06 02:07:54.323995,,,,,,f,,,{},vector,47,50,24
27,2022-12-06 02:07:54.331898,,,,,,f,,,{},vector,49,51,1
28,2022-12-06 02:07:54.343144,,,,,,f,,,{},vector,41,52,1
29,2022-12-06 02:07:54.35264,,,,,,f,,,{},vector,52,54,1
30,2022-12-06 02:07:54.363833,,,,,,f,,,{},vector,41,55,1
31,2022-12-06 02:07:54.366473,,,,,,f,,,{},vector,53,56,25
32,2022-12-06 02:07:54.373436,,,,,,f,,,{},vector,55,57,1
33,2022-12-06 02:07:54.384465,,,,,,f,,,{},vector,41,58,1
34,2022-12-06 02:07:54.396854,,,,,,f,,,{},vector,58,60,1
35,2022-12-06 02:07:54.408485,,,,,,f,,,{},vector,41,61,1
36,2022-12-06 02:07:54.41161,,,,,,f,,,{},vector,59,62,26
37,2022-12-06 02:07:54.418623,,,,,,f,,,{},vector,61,63,1
38,2022-12-06 02:07:54.457866,,,,,,f,,,{},vector,64,65,27
39,2022-12-06 02:07:54.503068,,,,,,f,,,{},vector,66,67,28
40,2022-12-06 02:07:54.546075,,,,,,f,,,{},vector,68,69,29
41,2022-12-06 02:07:54.591021,,,,,,f,,,{},vector,70,71,30
42,2022-12-06 02:07:54.635822,,,,,,f,,,{},vector,72,73,31
43,2022-12-06 02:07:54.678042,,,,,,f,,,{},vector,74,75,32
44,2022-12-06 02:07:54.720892,,,,,,f,,,{},vector,76,77,33
45,2022-12-06 02:07:54.763182,,,,,,f,,,{},vector,78,79,34
46,2022-12-06 02:07:54.805415,,,,,,f,,,{},vector,80,81,35
47,2022-12-06 02:07:54.849848,,,,,,f,,,{},vector,82,83,36
48,2022-12-06 02:07:54.892171,,,,,,f,,,{},vector,84,85,37
49,2022-12-06 02:07:54.933839,,,,,,f,,,{},vector,86,87,38
50,2022-12-06 02:07:54.977196,,,,,,f,,,{},vector,88,89,39
51,2022-12-06 02:07:55.019081,,,,,,f,,,{},vector,90,91,40
52,2022-12-06 02:07:55.062163,,,,,,f,,,{},vector,92,93,41
53,2022-12-06 02:07:55.104907,,,,,,f,,,{},vector,94,95,42
54,2022-12-06 02:07:55.147593,,,,,,f,,,{},vector,96,97,43
