id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,origin_id,network_id,contents,awaiting_async_process,pending_async_processes,failed_async_processes,participant_id,complete,finalized,is_repeat_trial,score,bonus,parent_trial_id,answer,propagate_failure,response_id,repeat_trial_index,num_repeat_trials,time_taken,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,definition,stimulus_id
7,2023-04-10 21:04:06.6191,,,,,,f,,,{},ColorBlindnessTrial,73,1,,f,{},{},1,t,t,f,,0,,"""5""",f,11,,,3.262,50,55,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-4.jpg"", ""label"": ""4"", ""correct_answer"": ""5""}",72
5,2023-04-10 21:04:02.572664,,,,,,f,,,{},ColorBlindnessTrial,64,1,,f,{},{},2,t,t,f,,0,,"""12""",f,8,,,2.616,50,55,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-1.jpg"", ""label"": ""1"", ""correct_answer"": ""12""}",62
112,2023-04-10 21:10:46.943191,,,,,,f,,,{},graph_chain_trial,133,45,,f,{},{},3,t,t,f,,0,,"[3, [1, 1, 1, 1, 2, 0, 0, 0, 0]]",t,245,,,5.333,492,512,20,"[{""content"": [1, 1, 1, 1, 2, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 15}, {""content"": [0, 0, 0, 0, 1, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 2}, {""content"": [2, 1, 1, 1, 1, 2, 2, 2, 1], ""is_center"": false, ""vertex_id"": 36}, {""content"": [1, 1, 1, 1, 2, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 34}, {""content"": [1, 1, 1, 1, 2, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 9}]",
143,2023-04-10 21:12:47.820591,,,,,,f,,,{},graph_chain_trial,162,43,,f,{},{},1,t,t,f,,0,,"[0, [0, 0, 0, 0, 0, 0, 0, 0, 0]]",t,324,,,7.055,492,512,20,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 31}, {""content"": [1, 1, 1, 1, 2, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 4}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 37}, {""content"": [2, 2, 0, 2, 2, 2, 1, 2, 2], ""is_center"": false, ""vertex_id"": 19}, {""content"": [1, 1, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 27}]",
1,2023-04-10 21:03:54.648315,,,,,,f,,,{},ColorBlindnessTrial,70,1,,f,{},{},2,t,t,f,,0,,"""29""",f,5,,,3.975,40,45,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-3.jpg"", ""label"": ""3"", ""correct_answer"": ""29""}",68
10,2023-04-10 21:04:12.133293,,,,,,f,,,{},ColorBlindnessTrial,79,1,,f,{},{},2,t,t,f,,0,,"""15""",f,14,,,2.621,65,70,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-6.jpg"", ""label"": ""6"", ""correct_answer"": ""15""}",78
4,2023-04-10 21:04:01.940319,,,,,,f,,,{},ColorBlindnessTrial,79,1,,f,{},{},1,t,t,f,,0,,"""15""",f,9,,,4.112,45,50,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-6.jpg"", ""label"": ""6"", ""correct_answer"": ""15""}",78
8,2023-04-10 21:04:08.941672,,,,,,f,,,{},ColorBlindnessTrial,76,1,,f,{},{},2,t,t,f,,0,,"""3""",f,12,,,2.561,60,65,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-5.jpg"", ""label"": ""5"", ""correct_answer"": ""3""}",74
2,2023-04-10 21:03:56.729829,,,,,,f,,,{},ColorBlindnessTrial,76,1,,f,{},{},1,t,t,f,,0,,"""3""",f,6,,,4.644,40,45,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-5.jpg"", ""label"": ""5"", ""correct_answer"": ""3""}",74
237,2023-04-10 21:18:26.562535,,,,,,f,,,{},graph_chain_trial,243,47,,f,{},{},9,t,t,f,,0,,"[3, [1, 1, 1, 1, 1, -1, -1, -1, -1], [1, 1, 1, 1, 1, 1, 1, 1, 1]]",t,568,,,21.661,132,152,20,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 25}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 26}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 46}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 14}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 37}]",
1354,2023-04-11 01:17:38.947752,,,,,,f,,,{},ColorBlindnessTrial,73,1,,f,{},{},55,t,t,f,,0,,"""5""",f,3362,,,3.609,65,70,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-4.jpg"", ""label"": ""4"", ""correct_answer"": ""5""}",72
14,2023-04-10 21:05:01.738332,,,,,,f,,,{},ColorBlindnessTrial,64,1,,f,{},{},3,t,t,f,,0,,"""12""",f,33,,,2.084,40,45,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-1.jpg"", ""label"": ""1"", ""correct_answer"": ""12""}",62
6,2023-04-10 21:04:05.854069,,,,,,f,,,{},ColorBlindnessTrial,73,1,,f,{},{},2,t,t,f,,0,,"""5""",f,10,,,2.495,55,60,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-4.jpg"", ""label"": ""4"", ""correct_answer"": ""5""}",72
3,2023-04-10 21:03:59.460192,,,,,,f,,,{},ColorBlindnessTrial,67,1,,f,{},{},2,t,t,f,,0,,"""8""",f,7,,,2.431,45,50,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-2.jpg"", ""label"": ""2"", ""correct_answer"": ""8""}",66
11,2023-04-10 21:04:15.332777,,,,,,f,,,{},ColorBlindnessTrial,70,1,,f,{},{},1,t,t,f,,0,,"""29""",f,15,,,3.722,60,65,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-3.jpg"", ""label"": ""3"", ""correct_answer"": ""29""}",68
9,2023-04-10 21:04:10.295999,,,,,,f,,,{},ColorBlindnessTrial,67,1,,f,{},{},1,t,t,f,,0,,"""8""",f,13,,,4.537,55,60,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-2.jpg"", ""label"": ""2"", ""correct_answer"": ""8""}",66
631,2023-04-10 21:49:06.048138,,,,,,f,,,{},ColorBlindnessTrial,64,1,,f,{},{},21,t,t,f,,0,,"""12""",f,1499,,,38.177,40,45,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-1.jpg"", ""label"": ""1"", ""correct_answer"": ""12""}",62
12,2023-04-10 21:04:19.732177,,,,,,f,,,{},ColorBlindnessTrial,64,1,,f,{},{},1,t,t,f,,0,,"""12""",f,17,,,3.303,65,70,5,"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-1.jpg"", ""label"": ""1"", ""correct_answer"": ""12""}",62
13,2023-04-10 21:04:47.991415,,,,,,f,,,{},graph_chain_trial,4,3,,f,{},{},2,t,t,f,,0,,"[4, [2, 2, 0, 0, 2, 2, 0, 1, 2]]",t,29,,,9.042,112,132,20,"[{""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": true, ""vertex_id"": 48}, {""content"": [2, 1, 0, 2, 1, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 46}, {""content"": [0, 1, 2, 2, 0, 2, 1, 0, 1], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 2, 0, 1, 1, 2, 1, 0, 0], ""is_center"": false, ""vertex_id"": 26}, {""content"": [2, 2, 2, 0, 0, 2, 2, 1, 0], ""is_center"": false, ""vertex_id"": 22}]",
15,2023-04-10 21:05:02.214106,,,,,,f,,,{},graph_chain_trial,87,38,,f,{},{},2,t,t,f,,0,,"[0, [2, 2, 2, 0, 2, 2, 2, 1, 2]]",t,39,,,7.162,132,152,20,"[{""content"": [2, 2, 2, 0, 2, 2, 0, 1, 1], ""is_center"": true, ""vertex_id"": 35}, {""content"": [2, 1, 1, 2, 0, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 39}, {""content"": [2, 0, 1, 1, 0, 0, 0, 1, 0], ""is_center"": false, ""vertex_id"": 20}, {""content"": [2, 2, 1, 2, 2, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 19}, {""content"": [0, 2, 0, 2, 2, 2, 2, 1, 1], ""is_center"": false, ""vertex_id"": 32}]",
421,2023-04-10 21:29:47.859485,,,,,,f,,,{},graph_chain_trial,396,21,,f,{},{},14,t,t,f,,0,,"[1, [2, 2, 2, 2, 0, 2, 2, 2, 2]]",t,980,,,7.514,412,432,20,"[{""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": true, ""vertex_id"": 18}, {""content"": [1, 1, 1, 1, 1, 1, 1, 1, 1], ""is_center"": false, ""vertex_id"": 16}, {""content"": [2, 1, 1, 2, 2, 2, 2, 2, 2], ""is_center"": false, ""vertex_id"": 30}, {""content"": [2, 2, 1, 2, 0, 0, 2, 0, 2], ""is_center"": false, ""vertex_id"": 36}, {""content"": [0, 0, 0, -1, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 12}]",
