id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,max_size,full,role,awaiting_async_process,pending_async_processes,failed_async_processes,trial_maker_id,target_num_trials,participant_id,id_within_participant,vertex_id,dependent_vertex_ids,source_seed,participant_group,block
3,2023-04-10 21:02:08.822578,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,48,"[46, 4, 26, 22]","[{""vertex_id"": 48, ""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": true}, {""vertex_id"": 46, ""content"": [2, 1, 0, 2, 1, 0, 0, 0, 1], ""is_center"": false}, {""vertex_id"": 4, ""content"": [0, 1, 2, 2, 0, 2, 1, 0, 1], ""is_center"": false}, {""vertex_id"": 26, ""content"": [2, 2, 0, 1, 1, 2, 1, 0, 0], ""is_center"": false}, {""vertex_id"": 22, ""content"": [2, 2, 2, 0, 0, 2, 2, 1, 0], ""is_center"": false}]",,
4,2023-04-10 21:02:08.869206,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,39,"[42, 19, 9, 35]","[{""vertex_id"": 39, ""content"": [2, 1, 1, 2, 0, 0, 0, 0, 1], ""is_center"": true}, {""vertex_id"": 42, ""content"": [0, 1, 2, 1, 1, 2, 1, 0, 0], ""is_center"": false}, {""vertex_id"": 19, ""content"": [2, 2, 1, 2, 2, 2, 0, 2, 1], ""is_center"": false}, {""vertex_id"": 9, ""content"": [2, 2, 0, 2, 1, 1, 2, 2, 2], ""is_center"": false}, {""vertex_id"": 35, ""content"": [2, 2, 2, 0, 2, 2, 0, 1, 1], ""is_center"": false}]",,
12,2023-04-10 21:02:09.146868,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,26,"[48, 13, 25, 38]","[{""vertex_id"": 26, ""content"": [2, 2, 0, 1, 1, 2, 1, 0, 0], ""is_center"": true}, {""vertex_id"": 48, ""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": false}, {""vertex_id"": 13, ""content"": [2, 1, 1, 2, 2, 2, 2, 2, 2], ""is_center"": false}, {""vertex_id"": 25, ""content"": [2, 0, 0, 0, 0, 0, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 38, ""content"": [2, 1, 0, 0, 0, 1, 0, 0, 2], ""is_center"": false}]",,
2,2023-04-10 21:02:08.77394,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,46,"[48, 44, 25, 40]","[{""vertex_id"": 46, ""content"": [2, 1, 0, 2, 1, 0, 0, 0, 1], ""is_center"": true}, {""vertex_id"": 48, ""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": false}, {""vertex_id"": 44, ""content"": [2, 1, 0, 1, 0, 0, 1, 1, 2], ""is_center"": false}, {""vertex_id"": 25, ""content"": [2, 0, 0, 0, 0, 0, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 40, ""content"": [2, 0, 2, 1, 1, 0, 1, 2, 1], ""is_center"": false}]",,
5,2023-04-10 21:02:08.902792,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,42,"[39, 3, 10, 6]","[{""vertex_id"": 42, ""content"": [0, 1, 2, 1, 1, 2, 1, 0, 0], ""is_center"": true}, {""vertex_id"": 39, ""content"": [2, 1, 1, 2, 0, 0, 0, 0, 1], ""is_center"": false}, {""vertex_id"": 3, ""content"": [0, 2, 2, 1, 2, 0, 0, 0, 0], ""is_center"": false}, {""vertex_id"": 10, ""content"": [0, 1, 1, 0, 1, 2, 1, 0, 0], ""is_center"": false}, {""vertex_id"": 6, ""content"": [2, 0, 2, 0, 1, 0, 2, 0, 2], ""is_center"": false}]",,
8,2023-04-10 21:02:09.013353,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,11,"[23, 36, 45, 29]","[{""vertex_id"": 11, ""content"": [2, 1, 1, 1, 1, 2, 2, 2, 1], ""is_center"": true}, {""vertex_id"": 23, ""content"": [0, 2, 1, 1, 1, 0, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 36, ""content"": [1, 2, 0, 1, 0, 1, 2, 2, 0], ""is_center"": false}, {""vertex_id"": 45, ""content"": [2, 2, 1, 0, 2, 1, 2, 0, 1], ""is_center"": false}, {""vertex_id"": 29, ""content"": [0, 2, 1, 0, 2, 1, 1, 0, 0], ""is_center"": false}]",,
9,2023-04-10 21:02:09.048207,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,23,"[11, 13, 3, 8]","[{""vertex_id"": 23, ""content"": [0, 2, 1, 1, 1, 0, 2, 2, 1], ""is_center"": true}, {""vertex_id"": 11, ""content"": [2, 1, 1, 1, 1, 2, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 13, ""content"": [2, 1, 1, 2, 2, 2, 2, 2, 2], ""is_center"": false}, {""vertex_id"": 3, ""content"": [0, 2, 2, 1, 2, 0, 0, 0, 0], ""is_center"": false}, {""vertex_id"": 8, ""content"": [2, 1, 1, 1, 1, 0, 2, 2, 2], ""is_center"": false}]",,
7,2023-04-10 21:02:08.978534,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,14,"[0, 28, 25, 4]","[{""vertex_id"": 14, ""content"": [2, 1, 0, 2, 2, 0, 0, 0, 0], ""is_center"": true}, {""vertex_id"": 0, ""content"": [2, 2, 2, 0, 2, 0, 2, 0, 1], ""is_center"": false}, {""vertex_id"": 28, ""content"": [0, 1, 1, 2, 2, 0, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 25, ""content"": [2, 0, 0, 0, 0, 0, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 4, ""content"": [0, 1, 2, 2, 0, 2, 1, 0, 1], ""is_center"": false}]",,
10,2023-04-10 21:02:09.080837,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,4,"[48, 14, 34, 31]","[{""vertex_id"": 4, ""content"": [0, 1, 2, 2, 0, 2, 1, 0, 1], ""is_center"": true}, {""vertex_id"": 48, ""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": false}, {""vertex_id"": 14, ""content"": [2, 1, 0, 2, 2, 0, 0, 0, 0], ""is_center"": false}, {""vertex_id"": 34, ""content"": [1, 0, 0, 2, 2, 2, 2, 0, 0], ""is_center"": false}, {""vertex_id"": 31, ""content"": [1, 2, 2, 1, 0, 0, 0, 2, 1], ""is_center"": false}]",,
11,2023-04-10 21:02:09.115881,,,,,,f,,,"{""chain_type"": ""\""across\"""", ""definition"": ""{}"", ""trials_per_node"": ""1"", ""participant_group"": ""\""default\""""}",graph_chain_network,22,t,experiment,f,{},{},graph_experiment,20,,,13,"[23, 26, 43, 24]","[{""vertex_id"": 13, ""content"": [2, 1, 1, 2, 2, 2, 2, 2, 2], ""is_center"": true}, {""vertex_id"": 23, ""content"": [0, 2, 1, 1, 1, 0, 2, 2, 1], ""is_center"": false}, {""vertex_id"": 26, ""content"": [2, 2, 0, 1, 1, 2, 1, 0, 0], ""is_center"": false}, {""vertex_id"": 43, ""content"": [1, 0, 1, 1, 2, 1, 0, 2, 1], ""is_center"": false}, {""vertex_id"": 24, ""content"": [0, 1, 1, 2, 1, 1, 1, 0, 2], ""is_center"": false}]",,
