id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,network_id,participant_id,awaiting_async_process,pending_async_processes,failed_async_processes,degree,child_id,seed,definition,vertex_id,dependent_vertex_ids,target_num_trials,stimulus_id,phase,participant_group,block,has_media,s3_bucket,remote_media_dir,media_id
1,2023-04-10 21:02:08.784186,,,,,,f,,,{},graph_chain_source,2,,f,{},{},,,"[{""content"": [2, 1, 0, 2, 1, 0, 0, 0, 1], ""is_center"": true, ""vertex_id"": 46}, {""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": false, ""vertex_id"": 48}, {""content"": [2, 1, 0, 1, 0, 0, 1, 1, 2], ""is_center"": false, ""vertex_id"": 44}, {""content"": [2, 0, 0, 0, 0, 0, 2, 2, 1], ""is_center"": false, ""vertex_id"": 25}, {""content"": [2, 0, 2, 1, 1, 0, 1, 2, 1], ""is_center"": false, ""vertex_id"": 40}]",{},,,,,,,,,,,
4,2023-04-10 21:02:08.856806,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,3,,f,{},{},1,137,"[{""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": true, ""vertex_id"": 48}, {""content"": [2, 1, 0, 2, 1, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 46}, {""content"": [0, 1, 2, 2, 0, 2, 1, 0, 1], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 2, 0, 1, 1, 2, 1, 0, 0], ""is_center"": false, ""vertex_id"": 26}, {""content"": [2, 2, 2, 0, 0, 2, 2, 1, 0], ""is_center"": false, ""vertex_id"": 22}]","[{""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": true, ""vertex_id"": 48}, {""content"": [2, 1, 0, 2, 1, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 46}, {""content"": [0, 1, 2, 2, 0, 2, 1, 0, 1], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 2, 0, 1, 1, 2, 1, 0, 0], ""is_center"": false, ""vertex_id"": 26}, {""content"": [2, 2, 2, 0, 0, 2, 2, 1, 0], ""is_center"": false, ""vertex_id"": 22}]",48,"[46, 4, 26, 22]",,,,,,,,,
3,2023-04-10 21:02:08.838411,,,,,,f,,,{},graph_chain_source,3,,f,{},{},,,"[{""content"": [2, 2, 2, 1, 2, 0, 2, 2, 0], ""is_center"": true, ""vertex_id"": 48}, {""content"": [2, 1, 0, 2, 1, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 46}, {""content"": [0, 1, 2, 2, 0, 2, 1, 0, 1], ""is_center"": false, ""vertex_id"": 4}, {""content"": [2, 2, 0, 1, 1, 2, 1, 0, 0], ""is_center"": false, ""vertex_id"": 26}, {""content"": [2, 2, 2, 0, 0, 2, 2, 1, 0], ""is_center"": false, ""vertex_id"": 22}]",{},,,,,,,,,,,
5,2023-04-10 21:02:08.876576,,,,,,f,,,{},graph_chain_source,4,,f,{},{},,,"[{""content"": [2, 1, 1, 2, 0, 0, 0, 0, 1], ""is_center"": true, ""vertex_id"": 39}, {""content"": [0, 1, 2, 1, 1, 2, 1, 0, 0], ""is_center"": false, ""vertex_id"": 42}, {""content"": [2, 2, 1, 2, 2, 2, 0, 2, 1], ""is_center"": false, ""vertex_id"": 19}, {""content"": [2, 2, 0, 2, 1, 1, 2, 2, 2], ""is_center"": false, ""vertex_id"": 9}, {""content"": [2, 2, 2, 0, 2, 2, 0, 1, 1], ""is_center"": false, ""vertex_id"": 35}]",{},,,,,,,,,,,
68,2023-04-10 21:02:09.894502,,,,,,f,,,{},Stimulus,1,,f,{},{},,,{},"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-3.jpg"", ""label"": ""3"", ""correct_answer"": ""29""}",,,,,,,,,,,
70,2023-04-10 21:02:09.903129,,,,,,f,,,{},StimulusVersion,1,,f,{},{},,,{},{},,,,68,screening,default,default,f,,,
72,2023-04-10 21:02:09.911009,,,,,,f,,,{},Stimulus,1,,f,{},{},,,{},"{""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-4.jpg"", ""label"": ""4"", ""correct_answer"": ""5""}",,,,,,,,,,,
73,2023-04-10 21:02:09.919731,,,,,,f,,,{},StimulusVersion,1,,f,{},{},,,{},{},,,,72,screening,default,default,f,,,
294,2023-04-10 21:22:08.435785,,,,,,f,,,"{""propagate_failure"": ""true""}",graph_chain_node,41,,f,{},{},5,328,"[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 40}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 12}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 28}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 46}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 5}]","[{""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": true, ""vertex_id"": 40}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 12}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 28}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 46}, {""content"": [0, 0, 0, 0, 0, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 5}]",40,"[46, 12, 28, 5]",,,,,,,,,
7,2023-04-10 21:02:08.911541,,,,,,f,,,{},graph_chain_source,5,,f,{},{},,,"[{""content"": [0, 1, 2, 1, 1, 2, 1, 0, 0], ""is_center"": true, ""vertex_id"": 42}, {""content"": [2, 1, 1, 2, 0, 0, 0, 0, 1], ""is_center"": false, ""vertex_id"": 39}, {""content"": [0, 2, 2, 1, 2, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 3}, {""content"": [0, 1, 1, 0, 1, 2, 1, 0, 0], ""is_center"": false, ""vertex_id"": 10}, {""content"": [2, 0, 2, 0, 1, 0, 2, 0, 2], ""is_center"": false, ""vertex_id"": 6}]",{},,,,,,,,,,,
9,2023-04-10 21:02:08.945047,,,,,,f,,,{},graph_chain_source,6,,f,{},{},,,"[{""content"": [2, 2, 2, 0, 2, 0, 2, 0, 1], ""is_center"": true, ""vertex_id"": 0}, {""content"": [2, 1, 0, 2, 2, 0, 0, 0, 0], ""is_center"": false, ""vertex_id"": 14}, {""content"": [1, 2, 2, 1, 0, 0, 0, 2, 2], ""is_center"": false, ""vertex_id"": 41}, {""content"": [2, 1, 0, 0, 0, 1, 0, 0, 2], ""is_center"": false, ""vertex_id"": 38}, {""content"": [0, 1, 1, 0, 1, 2, 1, 0, 0], ""is_center"": false, ""vertex_id"": 10}]",{},,,,,,,,,,,
