id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,assignment_id,event_type
1,2023-04-10 21:02:28.521048,,,,,,f,,,{},37Z929RLGBW94RGY9ZGILH7JJKSTSY,AssignmentAccepted
2,2023-04-10 21:02:29.126546,,,,,,f,,,{},3DPNQGW4LN3K083BNLC7C4ZZLWF46S,AssignmentAccepted
3,2023-04-10 21:02:29.191751,,,,,,f,,,{},3KB8R4ZV1GV6I0DQEDVGW9IUP2ZBG7,AssignmentAccepted
4,2023-04-10 21:02:29.223215,,,,,,f,,,{},3Y4W8Q93L18IFU15H4L8R094F2ZDV5,AssignmentAccepted
5,2023-04-10 21:02:30.24257,,,,,,f,,,{},33UKMF931B8AJRTDYZL8VM35L36TTN,AssignmentAccepted
6,2023-04-10 21:02:31.674349,,,,,,f,,,{},37FMASSAYEFKERJL41VJHLVA4FRBIZ,AssignmentAccepted
7,2023-04-10 21:02:31.68487,,,,,,f,,,{},36AHBNMV1T0ZJOWAMF8SYZDYXJ1DYE,AssignmentAccepted
8,2023-04-10 21:02:31.692167,,,,,,f,,,{},3X08E93BHX6YFV7P695M92JDHNL66F,AssignmentAccepted
9,2023-04-10 21:02:32.967302,,,,,,f,,,{},3X0H8UUIT3C1W8KS44LT81EINEAWSR,AssignmentAccepted
10,2023-04-10 21:02:32.982812,,,,,,f,,,{},3WR9XG3T65Z348HG6VHZIIZVG7Z47R,AssignmentAccepted
11,2023-04-10 21:02:32.99823,,,,,,f,,,{},3483FV8BEG7AXUOOJ7TJJP211IJ62Y,AssignmentAccepted
12,2023-04-10 21:02:33.001203,,,,,,f,,,{},3Y54SXRO1N9PJ482Y4BI0IP74HDTUE,AssignmentAccepted
13,2023-04-10 21:02:33.018692,,,,,,f,,,{},3KXIR214I64WI7KA0J04MRIN5RD249,AssignmentAccepted
14,2023-04-10 21:02:36.207134,,,,,,f,,,{},3NKQQ8O390TI2FC5CEB3VE7L1VQDUG,AssignmentAccepted
15,2023-04-10 21:02:36.25639,,,,,,f,,,{},39PAAFCODOOPWJX23ULNW4RQIOMTV3,AssignmentAccepted
16,2023-04-10 21:02:36.329656,,,,,,f,,,{},3X4MXAO0BICPVTKFPFLOIR9M1CRWR3,AssignmentAccepted
17,2023-04-10 21:02:36.351741,,,,,,f,,,{},3OXV7EAXLGEZICK7N77O2Z7T7WJ639,AssignmentReturned
18,2023-04-10 21:02:36.356452,,,,,,f,,,{},3OXV7EAXLGEZICK7N77O2Z7T7WJ639,AssignmentAccepted
19,2023-04-10 21:02:36.370358,,,,,,f,,,{},373ERPL3YQWX3CGLUAGDV72NXI9TRA,AssignmentAccepted
20,2023-04-10 21:02:55.749579,,,,,,f,,,{},3OXV7EAXLGEZICK7N77O2Z7T7WJ639,AssignmentAccepted
21,2023-04-10 21:02:55.907976,,,,,,f,,,{},37U1UTWH9XAE5SOXRC5I4B60J5P8R1,AssignmentAccepted
22,2023-04-10 21:03:08.190431,,,,,,f,,,{},35H6S234SCO2WR7B1QVHHW5DLSA65Z,AssignmentAccepted
23,2023-04-10 21:04:17.880268,,,,,,f,,,{},373ERPL3YQWX3CGLUAGDV72NXI9TRA,AssignmentReturned
24,2023-04-10 21:04:36.317876,,,,,,f,,,{},373ERPL3YQWX3CGLUAGDV72NXI9TRA,AssignmentAccepted
25,2023-04-10 21:05:19.38074,,,,,,f,,,{},3DPNQGW4LN3K083BNLC7C4ZZLWF46S,AssignmentReturned
26,2023-04-10 21:05:39.346528,,,,,,f,,,{},3DPNQGW4LN3K083BNLC7C4ZZLWF46S,AssignmentAccepted
27,2023-04-10 21:10:36.595884,,,,,,f,,,{},33UKMF931B8AJRTDYZL8VM35L36TTN,AssignmentReturned
