id,creation_time,property1,property2,property3,property4,property5,failed,failed_reason,time_of_death,details,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_
1,2023-04-10 21:03:25.749875,,,,,,f,,,{},Response,1,untitled,"{""princeton_consent"": true}",PrincetonConsentPage,,208.196.98.125,"{""time_taken"": 8.698, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 8.65, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-11T02:03:15.410Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-11T02:03:15.478Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-11T02:03:15.483Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-11T02:03:15.496Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-11T02:03:15.496Z"", ""info"": null}]}"
2,2023-04-10 21:03:49.698486,,,,,,f,,,{},Response,2,untitled,"{""princeton_consent"": true}",PrincetonConsentPage,,75.36.115.188,"{""time_taken"": 3.002, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 6.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-10T21:03:46.868Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-10T21:03:46.888Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-10T21:03:46.894Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-10T21:03:46.902Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-10T21:03:46.902Z"", ""info"": null}]}"
3,2023-04-10 21:03:54.612231,,,,,,f,,,{},Response,2,untitled,,InfoPage,,75.36.115.188,"{""time_taken"": 4.455, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 5.25, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-10T21:03:50.350Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-10T21:03:50.413Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-10T21:03:50.426Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-10T21:03:50.435Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-10T21:03:50.436Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>We will now perform a quick test to check your ability to perceive colors.</p>\\u000a            <p>\\u000a                In each trial, you will be presented with an image that contains a number.\\u000a                This image will disappear after 3.0 seconds.\\u000a                You must enter the number that you see into the text box.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
4,2023-04-10 21:03:56.696182,,,,,,f,,,{},Response,1,untitled,,InfoPage,,208.196.98.125,"{""time_taken"": 30.373, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 8.65, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-11T02:03:24.834Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-11T02:03:24.846Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-11T02:03:24.851Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-11T02:03:24.861Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-11T02:03:24.861Z"", ""info"": null}], ""content"": {""py/object"": ""markupsafe.Markup"", ""bytes"": ""ccopy_reg\n_reconstructor\np0\n(cmarkupsafe\nMarkup\np1\nc__builtin__\nunicode\np2\nV\\u000a            <p>We will now perform a quick test to check your ability to perceive colors.</p>\\u000a            <p>\\u000a                In each trial, you will be presented with an image that contains a number.\\u000a                This image will disappear after 3.0 seconds.\\u000a                You must enter the number that you see into the text box.\\u000a            </p>\\u000a            \np3\ntp4\nRp5\n.""}}"
5,2023-04-10 21:03:59.323577,,,,,,f,,,{},Response,2,color_blindness_trial,"""29""",ModularPage,,75.36.115.188,"{""time_taken"": 3.975, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 5.25, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-10T21:03:55.516Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-10T21:03:55.540Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-10T21:03:55.545Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-04-10T21:03:55.555Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-10T21:03:55.555Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-10T21:03:55.556Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-04-10T21:03:58.560Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-3.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
6,2023-04-10 21:04:01.848266,,,,,,f,,,{},Response,1,color_blindness_trial,"""3""",ModularPage,,208.196.98.125,"{""time_taken"": 4.644, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 8.65, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-11T02:03:55.700Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-11T02:03:55.713Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-11T02:03:55.717Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-04-11T02:03:55.725Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-11T02:03:55.725Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-11T02:03:55.725Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-04-11T02:03:58.729Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-5.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
7,2023-04-10 21:04:02.507996,,,,,,f,,,{},Response,2,color_blindness_trial,"""8""",ModularPage,,75.36.115.188,"{""time_taken"": 2.431, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 5.25, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-10T21:04:00.250Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-10T21:04:00.264Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-10T21:04:00.269Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-04-10T21:04:00.278Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-10T21:04:00.278Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-10T21:04:00.278Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-2.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
27,2023-04-10 21:04:51.909398,,,,,,f,,,{},Response,2,choose,4,NecklaceNAFCPage,,75.36.115.188,"{""time_taken"": 3.439, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 6.4, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-10T21:04:48.666Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-10T21:04:48.695Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-10T21:04:48.699Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-10T21:04:48.716Z"", ""info"": null}], ""prompt"": {""text"": ""Click on the necklace which you like most."", ""dimensions"": [640, 480], ""viewport_width"": 0.7, ""loop"": false, ""num_frames"": 1}, ""control"": {}}"
8,2023-04-10 21:04:05.766785,,,,,,f,,,{},Response,2,color_blindness_trial,"""12""",ModularPage,,75.36.115.188,"{""time_taken"": 2.616, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 5.25, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-10T21:04:03.313Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-10T21:04:03.505Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-10T21:04:03.510Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-04-10T21:04:03.519Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-10T21:04:03.519Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-10T21:04:03.519Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-1.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
9,2023-04-10 21:04:06.532723,,,,,,f,,,{},Response,1,color_blindness_trial,"""15""",ModularPage,,208.196.98.125,"{""time_taken"": 4.112, ""platform"": ""Chrome 111.0.0.0 on Windows 10 64-bit"", ""download_speed_megabits_per_sec"": 8.65, ""event_log"": [{""eventType"": ""trialConstruct"", ""localTime"": ""2023-04-11T02:04:00.919Z"", ""info"": null}, {""eventType"": ""trialPrepare"", ""localTime"": ""2023-04-11T02:04:00.926Z"", ""info"": null}, {""eventType"": ""trialStart"", ""localTime"": ""2023-04-11T02:04:00.931Z"", ""info"": null}, {""eventType"": ""promptStart"", ""localTime"": ""2023-04-11T02:04:00.941Z"", ""info"": null}, {""eventType"": ""responseEnable"", ""localTime"": ""2023-04-11T02:04:00.941Z"", ""info"": null}, {""eventType"": ""submitEnable"", ""localTime"": ""2023-04-11T02:04:00.941Z"", ""info"": null}, {""eventType"": ""promptEnd"", ""localTime"": ""2023-04-11T02:04:03.946Z"", ""info"": null}], ""prompt"": {""text"": ""Write down the number in the image."", ""url"": ""https://s3.amazonaws.com/ishihara-eye-test/jpg/ishihara-6.jpg"", ""show_after"": 0.0, ""hide_after"": 3.0}, ""control"": {""one_line"": true, ""width"": ""100px"", ""height"": null, ""text_align"": ""left"", ""block_copy_paste"": false}}"
