awaiting_async_process,id,creation_time,failed,failed_reason,time_of_death,type,fingerprint_hash,recruiter_id,worker_id,assignment_id,unique_id,hit_id,mode,end_time,base_pay,bonus,entry_information,status,vars,elt_id,elt_id_max,page_uuid,aborted,complete,answer,answer_accumulators,branch_log,for_loops,failure_tags,last_response_id,base_payment,performance_bonus,unpaid_bonus,client_ip_address,auth_token,answer_is_fresh,browser_platform,module_state_id,current_trial_id,trial_status,page_count,class,aborted_modules,started_modules,finished_modules,module_id,progress,estimated_bonus,main_consent
False,1,2022-11-30 21:30:17,False,,,Bot,,bot_recruiter,898f8633-591a-40a6-b221-40ffe4d0e824,02364d15-095b-436d-808d-8d0a1d5629b7,898f8633-591a-40a6-b221-40ffe4d0e824:02364d15-095b-436d-808d-8d0a1d5629b7,,debug,,,,{},approved,"{'__time_credit__confirmed_credit': 228.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:22.051624', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:18.256442'}",[129],[129],6efacec7-2002-bb4c-a794-f3ec0814b8f4,False,True,"{'choose': 1, 'reproduce': 1}",[],"[['main_consent_conditional', False]]",{},[],22,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,,,exit,25,Bot,[],"['main_consent', 'graph_demo']","['main_consent', 'graph_demo']",,1.0,0.57,True
False,2,2022-11-30 21:30:22,False,,,Bot,,bot_recruiter,63bf84a4-c91a-42ed-853c-1eb5dbd34d6b,5a45955b-c97b-419f-8e72-10c8723cbfbb,63bf84a4-c91a-42ed-853c-1eb5dbd34d6b:5a45955b-c97b-419f-8e72-10c8723cbfbb,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:22.729596', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:22.744549'}","[61, 0]",[129],82f35eed-6643-a970-7dc2-eebf300bfcf8,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],24,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,4.0,10.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
False,3,2022-11-30 21:30:27,False,,,Bot,,bot_recruiter,6046b221-1256-4f11-bba0-ace8ef1d255e,93244f3d-1189-4812-962e-d8d2d5820212,6046b221-1256-4f11-bba0-ace8ef1d255e:93244f3d-1189-4812-962e-d8d2d5820212,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:27.687574', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:27.698061'}","[61, 0]",[129],1a65b43f-827b-314e-b601-eb0a61be18fd,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],28,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,6.0,11.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
False,4,2022-11-30 21:30:32,False,,,Bot,,bot_recruiter,4dc9e580-f48f-4bc2-9dfc-46c6259aac01,b4d64b42-f1d4-4024-b20f-2fa5327bd19c,4dc9e580-f48f-4bc2-9dfc-46c6259aac01:b4d64b42-f1d4-4024-b20f-2fa5327bd19c,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:32.742096', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:32.753081'}","[61, 0]",[129],362475a1-9eea-84da-f556-95a20442e021,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],32,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,8.0,12.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
False,5,2022-11-30 21:30:37,False,,,Bot,,bot_recruiter,7d74edaa-d23e-4d23-a078-2a2b036c309f,c9db1d54-43ab-4612-b5e2-b59dba701af2,7d74edaa-d23e-4d23-a078-2a2b036c309f:c9db1d54-43ab-4612-b5e2-b59dba701af2,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:37.681525', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:37.691496'}","[61, 0]",[129],29752e23-02be-88b8-f9bf-38112f2276f9,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],36,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,10.0,13.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
False,6,2022-11-30 21:30:42,False,,,Bot,,bot_recruiter,c9564fb8-6a86-446e-b6a3-b0079b98d613,46913aee-7e01-4f9a-83fd-166236440d59,c9564fb8-6a86-446e-b6a3-b0079b98d613:46913aee-7e01-4f9a-83fd-166236440d59,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:42.682927', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:42.693205'}","[61, 0]",[129],a916018f-928b-a365-9431-852a16314b3f,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],40,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,12.0,14.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
False,7,2022-11-30 21:30:47,False,,,Bot,,bot_recruiter,43022cfc-b657-4bd8-8ca6-7f961424f0fb,58f87cc5-1a59-4c86-a34a-4219afd70c9c,43022cfc-b657-4bd8-8ca6-7f961424f0fb:58f87cc5-1a59-4c86-a34a-4219afd70c9c,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:47.684342', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:47.694586'}","[61, 0]",[129],fa4e6abc-b9d9-dd67-0d7d-6992f2574115,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],44,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,14.0,15.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
False,8,2022-11-30 21:30:52,False,,,Bot,,bot_recruiter,7614ef14-2c85-47cb-bac1-d795dbc8e764,8234c34c-12a2-4d14-b5f4-24b0c2c7b8ce,7614ef14-2c85-47cb-bac1-d795dbc8e764:8234c34c-12a2-4d14-b5f4-24b0c2c7b8ce,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:52.690868', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:52.701516'}","[61, 0]",[129],9163d7fa-3afb-229b-567b-fbe9e19e894e,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],48,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,16.0,16.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
False,9,2022-11-30 21:30:57,False,,,Bot,,bot_recruiter,17014396-e859-4f1d-be2a-1df7c398077c,26d16edc-bcb7-426e-a1f7-90ecce209edd,17014396-e859-4f1d-be2a-1df7c398077c:26d16edc-bcb7-426e-a1f7-90ecce209edd,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:30:57.844559', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:30:57.865958'}","[61, 0]",[129],49b47f53-7530-202d-1ea5-6b9c7fb559aa,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],52,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,18.0,17.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
False,10,2022-11-30 21:31:02,False,,,Bot,,bot_recruiter,13a7d034-9cc7-49a1-b814-2d3956c9f5a8,f4e97dfb-b418-4d5a-80b0-d66856ab7291,13a7d034-9cc7-49a1-b814-2d3956c9f5a8:f4e97dfb-b418-4d5a-80b0-d66856ab7291,,debug,,,,{},working,"{'__time_credit__confirmed_credit': 48.0, '__time_credit__is_fixed': False, '__time_credit__pending_credit': 0.0, '__time_credit__max_pending_credit': 0.0, '__time_credit__wage_per_hour': 9.0, '__time_credit__experiment_max_time_credit': 228.0, '__time_credit__experiment_max_bonus': 0.57, 'main_consent': True, '__Waiting for trial__loop_start_time__loop_start_time': '2022-11-30T21:31:02.681312', '__graph_demo__trial_loop__loop_start_time__loop_start_time': '2022-11-30T21:31:02.691855'}","[61, 0]",[129],94053e63-1b86-189e-06de-5f86fb27cb2f,False,False,{'main_consent': True},[],"[['main_consent_conditional', False]]",{},[],56,0.1,0.0,0.0,,,False,Browser platform info could not be retrieved.,20.0,18.0,available,4,Bot,[],"['main_consent', 'graph_demo']",['main_consent'],graph_demo,0.21052631578947367,0.12,True
