creation_time,failed,failed_reason,time_of_death,vars,id,module_id,participant_id,time_started,time_finished,time_aborted,started,finished,aborted,type,participant_group,in_repeat_phase,performance_check,trials_to_repeat,repeat_trial_index,n_completed_trials,block_order,block_position,block,participated_networks,n_participant_trials_in_trial_maker,n_participant_trials_in_block,class
2022-11-30 21:30:18,False,,,{},2,graph_demo,1,2022-11-30 21:30:18,2022-11-30 21:30:22,,True,True,False,ChainTrialMakerState,default,False,,,,9,['default'],0,default,"[7, 9, 5, 3, 6, 4, 1, 8, 2]",9,9,ChainTrialMakerState
2022-11-30 21:30:22,False,,,{},4,graph_demo,2,2022-11-30 21:30:22,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
2022-11-30 21:30:27,False,,,{},6,graph_demo,3,2022-11-30 21:30:27,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
2022-11-30 21:30:32,False,,,{},8,graph_demo,4,2022-11-30 21:30:32,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
2022-11-30 21:30:37,False,,,{},10,graph_demo,5,2022-11-30 21:30:37,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
2022-11-30 21:30:42,False,,,{},12,graph_demo,6,2022-11-30 21:30:42,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
2022-11-30 21:30:47,False,,,{},14,graph_demo,7,2022-11-30 21:30:47,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
2022-11-30 21:30:52,False,,,{},16,graph_demo,8,2022-11-30 21:30:52,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
2022-11-30 21:30:57,False,,,{},18,graph_demo,9,2022-11-30 21:30:57,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
2022-11-30 21:31:02,False,,,{},20,graph_demo,10,2022-11-30 21:31:02,,,True,False,False,ChainTrialMakerState,default,False,,,,0,['default'],0,default,[],1,1,ChainTrialMakerState
