awaiting_async_process,id,creation_time,failed,failed_reason,time_of_death,type,origin_id,network_id,contents,vars,node_id,participant_id,module_state_id,trial_maker_id,definition,complete,finalized,is_repeat_trial,score,bonus,parent_trial_id,propagate_failure,response_id,repeat_trial_index,n_repeat_trials,time_taken,_initial_assets,time_credit_before_trial,time_credit_after_trial,time_credit_from_trial,block_position,block,class,answer__choose,answer__reproduce,answer
False,1,2022-11-30 21:30:18,False,,,CustomTrial,7,7,,{},7,1,2,graph_demo,"[{'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': True}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}]",True,True,False,,,,True,6.0,,,0.0,{},48.0,68.0,20.0,0,default,CustomTrial,2.0,0.0,
False,2,2022-11-30 21:30:18,False,,,CustomTrial,9,9,,{},9,1,2,graph_demo,"[{'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': True}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}]",True,True,False,,,,True,8.0,,,0.0,{},68.0,88.0,20.0,0,default,CustomTrial,1.0,1.0,
False,3,2022-11-30 21:30:18,False,,,CustomTrial,5,5,,{},5,1,2,graph_demo,"[{'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': True}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}, {'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': False}]",True,True,False,,,,True,10.0,,,0.0,{},88.0,108.0,20.0,0,default,CustomTrial,3.0,0.0,
False,4,2022-11-30 21:30:19,False,,,CustomTrial,3,3,,{},3,1,2,graph_demo,"[{'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': True}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': False}]",True,True,False,,,,True,12.0,,,0.0,{},108.0,128.0,20.0,0,default,CustomTrial,1.0,2.0,
False,5,2022-11-30 21:30:19,False,,,CustomTrial,6,6,,{},6,1,2,graph_demo,"[{'vertex_id': 5, 'content': [0, 0, 2, 0, 2, 0, 0, 0, 1], 'is_center': True}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': False}, {'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': False}]",True,True,False,,,,True,14.0,,,0.0,{},128.0,148.0,20.0,0,default,CustomTrial,1.0,0.0,
False,6,2022-11-30 21:30:20,False,,,CustomTrial,4,4,,{},4,1,2,graph_demo,"[{'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': True}, {'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': False}]",True,True,False,,,,True,16.0,,,0.0,{},148.0,168.0,20.0,0,default,CustomTrial,2.0,2.0,
False,7,2022-11-30 21:30:20,False,,,CustomTrial,1,1,,{},1,1,2,graph_demo,"[{'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': True}, {'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': False}, {'vertex_id': 3, 'content': [0, 1, 0, 1, 0, 2, 2, 0, 2], 'is_center': False}]",True,True,False,,,,True,18.0,,,0.0,{},168.0,188.0,20.0,0,default,CustomTrial,0.0,2.0,
False,8,2022-11-30 21:30:21,False,,,CustomTrial,8,8,,{},8,1,2,graph_demo,"[{'vertex_id': 7, 'content': [1, 1, 1, 2, 1, 0, 0, 2, 2], 'is_center': True}, {'vertex_id': 6, 'content': [2, 2, 0, 1, 2, 0, 0, 1, 2], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}, {'vertex_id': 8, 'content': [1, 0, 0, 2, 0, 0, 2, 2, 2], 'is_center': False}]",True,True,False,,,,True,20.0,,,0.0,{},188.0,208.0,20.0,0,default,CustomTrial,1.0,1.0,
False,9,2022-11-30 21:30:21,False,,,CustomTrial,2,2,,{},2,1,2,graph_demo,"[{'vertex_id': 1, 'content': [0, 2, 1, 0, 2, 2, 0, 1, 2], 'is_center': True}, {'vertex_id': 0, 'content': [2, 1, 2, 0, 2, 2, 1, 0, 0], 'is_center': False}, {'vertex_id': 2, 'content': [0, 1, 1, 0, 1, 2, 0, 2, 0], 'is_center': False}, {'vertex_id': 4, 'content': [0, 1, 0, 2, 1, 1, 0, 0, 2], 'is_center': False}]",True,True,False,,,,True,22.0,,,0.0,{},208.0,228.0,20.0,0,default,CustomTrial,1.0,1.0,
False,10,2022-11-30 21:30:22,True,response_timeout,2022-11-30 21:32:12,CustomTrial,18,5,,{},18,2,4,graph_demo,[0],False,False,False,,,,True,,,,,{},48.0,,,0,default,CustomTrial,,,
