id,creation_time,failed,failed_reason,time_of_death,vars,type,participant_id,question,answer,page_type,successful_validation,client_ip_address,metadata_,class
1,2022-11-30 21:30:17,False,,,{},Response,1,untitled,{'main_consent': True},MainConsentPage,,,{'time_taken': 0},Response
2,2022-11-30 21:30:18,False,,,{},Response,1,untitled,,InfoPage,,,"{'content': Markup('\n            <p>\n            This experiment implements a simple task on a square lattice.\n            This is done by specifying an approppriate dictionary of edges and vertices which in\n            turn is passed to <code>GraphChainTrialMaker</code> through <code>network_structure</code>.\n            The dictionary should take the following form:\n            </p>\n            <code>\n            {\n                ""vertices"": [1,2],\n                ""edges"": [{""origin"": 1, ""target"": 2, ""properties"": {""type"": ""default""}}]\n            }\n            </code>\n        '), 'time_taken': 0}",Response
3,2022-11-30 21:30:18,False,,,{},Response,1,untitled,,InfoPage,,,"{'content': Markup('\n            The task itself consists of choosing a stimulus from one of your neighbours\n            on the lattice and replicating it.\n        '), 'time_taken': 0}",Response
4,2022-11-30 21:30:18,False,,,{},Response,1,untitled,,InfoPage,,,"{'content': ""Let's begin!"", 'time_taken': 0}",Response
5,2022-11-30 21:30:18,False,,,{},Response,1,choose,2,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
6,2022-11-30 21:30:18,False,,,{},Response,1,reproduce,0,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
7,2022-11-30 21:30:18,False,,,{},Response,1,choose,1,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
8,2022-11-30 21:30:18,False,,,{},Response,1,reproduce,1,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
9,2022-11-30 21:30:19,False,,,{},Response,1,choose,3,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
10,2022-11-30 21:30:19,False,,,{},Response,1,reproduce,0,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
11,2022-11-30 21:30:19,False,,,{},Response,1,choose,1,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
12,2022-11-30 21:30:19,False,,,{},Response,1,reproduce,2,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
13,2022-11-30 21:30:19,False,,,{},Response,1,choose,1,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
14,2022-11-30 21:30:19,False,,,{},Response,1,reproduce,0,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
15,2022-11-30 21:30:20,False,,,{},Response,1,choose,2,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
16,2022-11-30 21:30:20,False,,,{},Response,1,reproduce,2,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
17,2022-11-30 21:30:20,False,,,{},Response,1,choose,0,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
18,2022-11-30 21:30:20,False,,,{},Response,1,reproduce,2,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
19,2022-11-30 21:30:21,False,,,{},Response,1,choose,1,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
20,2022-11-30 21:30:21,False,,,{},Response,1,reproduce,1,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
21,2022-11-30 21:30:21,False,,,{},Response,1,choose,1,NecklaceNAFCPage,,,"{'time_taken': 0, 'prompt': {'text': 'Choose the necklace which you like most.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
22,2022-11-30 21:30:21,False,,,{},Response,1,reproduce,1,NecklaceInteractivePage,,,"{'time_taken': 0, 'prompt': {'text': 'Recolor the present necklace like the necklace you just chose.', 'dimensions': [640, 480], 'viewport_width': 0.7, 'loop': False, 'n_frames': 1}, 'control': {}}",Response
23,2022-11-30 21:30:22,False,,,{},Response,1,untitled,,InfoPage,,,"{'content': 'You finished the experiment!', 'time_taken': 0}",Response
24,2022-11-30 21:30:22,False,,,{},Response,2,untitled,{'main_consent': True},MainConsentPage,,,{'time_taken': 0},Response
